readout,fluence_mw_us,trial_count,legacy_verified_trials,reconstructed_moment_supported_trials,principal_axis_angle_supported_pairs,supported_absolute_integrated_response_relative_error_trials,minimum_absolute_integrated_response_relative_error,median_absolute_integrated_response_relative_error,maximum_absolute_integrated_response_relative_error,supported_centroid_position_error_um_trials,minimum_centroid_position_error_um,median_centroid_position_error_um,maximum_centroid_position_error_um,supported_covariance_tensor_relative_frobenius_error_trials,minimum_covariance_tensor_relative_frobenius_error,median_covariance_tensor_relative_frobenius_error,maximum_covariance_tensor_relative_frobenius_error,supported_absolute_major_rms_width_relative_error_trials,minimum_absolute_major_rms_width_relative_error,median_absolute_major_rms_width_relative_error,maximum_absolute_major_rms_width_relative_error,supported_absolute_minor_rms_width_relative_error_trials,minimum_absolute_minor_rms_width_relative_error,median_absolute_minor_rms_width_relative_error,maximum_absolute_minor_rms_width_relative_error,supported_absolute_aspect_ratio_relative_error_trials,minimum_absolute_aspect_ratio_relative_error,median_absolute_aspect_ratio_relative_error,maximum_absolute_aspect_ratio_relative_error,supported_absolute_principal_axis_angle_error_deg_trials,minimum_absolute_principal_axis_angle_error_deg,median_absolute_principal_axis_angle_error_deg,maximum_absolute_principal_axis_angle_error_deg
dual_port,30.0,10,10,10,10,10,0.01746843273654619,0.05644627634330712,0.11759961667655272,10,0.04333421303821543,0.19532405394126215,0.7263393691963939,10,0.03199457576133645,0.1386587589263497,0.21455675512488714,10,0.009813153393645635,0.0661237214771,0.10181245178832521,10,0.1282108632443495,0.15457184495396437,0.3229066527333928,10,0.04965246874928919,0.09187294301290466,0.19902582146391268,10,0.006012005559208836,0.37767424254995535,0.7013734651176667
dual_port,90.0,10,10,10,10,10,0.018885518374747168,0.04144345212887979,0.09325209139784918,10,0.03938236776128969,0.1522251165861509,0.36391775287829653,10,0.02176260660443306,0.06466259656170287,0.19151057706162367,10,0.006308269562857349,0.03088574654162979,0.09114094424427654,10,0.11501580938415312,0.12711640051496265,0.30917815900294254,10,0.06733616123351749,0.09410062626413762,0.16654510561398395,10,0.07712566882164446,0.3546589577721099,1.036310131347953
dual_port,150.0,10,10,10,10,10,0.03537521083658657,0.0441465893069759,0.0691777165888845,10,0.020482982866085613,0.11642117487956564,0.37723398046500206,10,0.03120078444130863,0.05196375289793523,0.12374674713969565,10,0.012261769104847664,0.024515632331121417,0.05965230770061858,10,0.11695370541597927,0.12427271987262956,0.21178115000925457,10,0.06356827130983234,0.09044909759857178,0.16464968191895302,10,0.059805222523629305,0.24213549065651668,0.6510734945959255
dark_field,30.0,10,10,10,10,10,0.13607457735914208,0.3193019858371664,0.8716699668834524,10,0.09597406865441808,1.4331271307966955,2.246031557256887,10,0.05117676531694736,0.44673460703265044,0.5817563102949173,10,0.0095447306191907,0.20140631754819782,0.25657474585096973,10,0.3232541052829505,0.3395761866772363,0.8353166452945371,10,0.06743376696351022,0.12643500633341404,0.3665872589441296,10,0.2590448001161317,1.0621719876140023,1.9127515967333242
dark_field,90.0,10,10,10,10,10,0.1177985113942992,0.18351783647574582,0.3309771112789992,10,0.1189937470060564,0.47353660166626105,1.4803212467722553,10,0.1966682983412083,0.29081322149794697,0.4793891666658991,10,0.09228999277210592,0.1347705078263165,0.21600702380251846,10,0.17988958090011287,0.22095662477609523,0.5792135224688959,10,0.019403579007788108,0.07491259785130111,0.29035106375824404,10,0.627161688545161,0.8949778504327086,1.7321183341417699
dark_field,150.0,10,10,10,10,10,0.1065749678452188,0.16154158203133773,0.31977236997073866,10,0.10619721569164797,0.2790659694591533,1.0734866516849728,10,0.1428801237897259,0.31927521455486596,0.426299186483872,10,0.0683998656776923,0.14766156407615305,0.19271780650157977,10,0.15498499696231804,0.19144497373682356,0.5404208346334065,10,0.018655977099671817,0.048387295022380705,0.24201913350365578,10,0.23856975748469517,0.9667000319622416,1.707184884974995
