readout,basis_label,candidate,curvature_weight_um2,parameter_count,trial_count,success_fraction,full_rank_fraction,median_supported_band_relative_l2_error,upper_quartile_supported_band_relative_l2_error,median_absolute_integrated_density_relative_error,median_data_jacobian_condition,maximum_data_jacobian_condition
dual_port,resolution_matched_17x5,resolution_matched_17x5__curvature_30_um2,30.0,85,5,1.0,1.0,0.11439210532950851,0.11454797146412954,0.053479273645162806,14.81584124763355,14.85129719879029
dual_port,resolution_matched_17x5,resolution_matched_17x5__curvature_100_um2,100.0,85,5,1.0,1.0,0.11725436794527995,0.12124372867838684,0.050405007491493015,14.820041347515373,14.856235759603642
dual_port,resolution_matched_17x5,resolution_matched_17x5__curvature_300_um2,300.0,85,5,1.0,1.0,0.15743684494003904,0.1595645799244713,0.04829147759449115,14.82947407278191,14.862804948114125
dual_port,resolution_matched_17x5,resolution_matched_17x5__curvature_1000_um2,1000.0,85,5,1.0,1.0,0.25486132581509713,0.25911084278972574,0.058488981352883496,14.845740997639165,14.870803632957243
