frame_index,shot,N0,loss_fraction,temperature_k,phi_rad,snr,accumulated_snr
0,0,25000,8.881784197e-16,2e-07,0.202941652879,7.75545484274,7.75545484274
5,5,22251.2417585,0.109950329658,2.0199018846e-07,0.189242963079,7.24791343768,18.3836742742
10,10,19529.047459,0.218838101638,2.0392322977e-07,0.174991044942,6.71709851097,24.0478465904
14,14,17369.5839848,0.305216640607,2.05431007871e-07,0.163110094048,6.27247146723,27.2817382556
