detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction
0.75,105,Faraday dual-port,9,33.6743855277,30.1260644625,2,2,depletion,0.281349211251,0.419513203688,0.0278161507607,0.106555208868
0.75,110,Faraday dark-field,9,17.5315475081,15.1688416676,2,2,depletion,0.294576813262,0.439122539191,0.0291407293683,0.106555208868
0.75,110,Faraday dual-port,9,34.478581512,30.668613533,2,2,depletion,0.294576813262,0.439122539191,0.0291407293683,0.106555208868
0.75,115,Faraday dark-field,9,17.9953523926,17.9953523926,1,1,depletion,0.154933527605,0.307789633623,0.030465307976,0.106555208868
0.75,115,Faraday dual-port,9,35.2644571028,35.2644571028,1,1,depletion,0.154933527605,0.307789633623,0.030465307976,0.106555208868
0.75,120,Faraday dark-field,9,18.4484788326,18.4484788326,1,1,depletion,0.161621630416,0.320987754559,0.0317898865836,0.106555208868
0.75,120,Faraday dual-port,9,36.0332092826,36.0332092826,1,1,depletion,0.161621630416,0.320987754559,0.0317898865836,0.106555208868
0.75,125,Faraday dark-field,9,18.8915988926,18.8915988926,1,1,depletion,0.168305820312,0.334171257473,0.0331144651913,0.106555208868
0.75,125,Faraday dual-port,9,36.7859101775,36.7859101775,1,1,depletion,0.168305820312,0.334171257473,0.0331144651913,0.106555208868
0.75,130,Faraday dark-field,9,19.3253189775,19.3253189775,1,1,depletion,0.174986108711,0.347340222963,0.0344390437989,0.106555208868
0.75,130,Faraday dual-port,9,37.5235245548,37.5235245548,1,1,depletion,0.174986108711,0.347340222963,0.0344390437989,0.106555208868
0.75,135,Faraday dark-field,9,19.7501883026,19.7501883026,1,1,depletion,0.181662506974,0.360494730829,0.0357636224066,0.106555208868
0.75,135,Faraday dual-port,9,38.2469242893,38.2469242893,1,1,depletion,0.181662506974,0.360494730829,0.0357636224066,0.106555208868
0.75,140,Faraday dark-field,9,20.1667060271,20.1667060271,1,1,depletion,0.188335026402,0.373634860085,0.0370882010142,0.106555208868
0.75,140,Faraday dual-port,9,38.9569004177,38.9569004177,1,1,depletion,0.188335026402,0.373634860085,0.0370882010142,0.106555208868
0.75,145,Faraday dark-field,9,20.5753272995,20.5753272995,1,1,depletion,0.195003678235,0.386760688974,0.0384127796219,0.106555208868
0.75,145,Faraday dual-port,9,39.6541732537,39.6541732537,1,1,depletion,0.195003678235,0.386760688974,0.0384127796219,0.106555208868
