fluence_mw_us,image_number,snr_3x3,condensate_atoms,condensate_fraction,temperature_k,pre_exposure_loss,post_exposure_loss,status,counted_as_usable
30,1,9.11704688471,25000,1,2e-07,8.881784197e-16,0.00946728201909,usable,True
30,2,9.05066283885,24763.3179495,0.990532717981,2.0017292668e-07,0.00946728201909,0.0189263994779,usable,True
30,3,8.98417389302,24526.8400131,0.981073600522,2.0034540635e-07,0.0189263994779,0.0283773874608,quality_limited,False
30,4,8.91758493894,24290.5653135,0.971622612539,2.00517441699e-07,0.0283773874608,0.0378202807821,quality_limited,False
30,5,8.85090274451,24054.4929804,0.962179719218,2.00689035387e-07,0.0378202807821,0.0472551139882,quality_limited,False
30,6,8.78413598898,23818.6221503,0.952744886012,2.00860190051e-07,0.0472551139882,0.0566819213614,quality_limited,False
30,7,8.7172961574,23582.951966,0.943318078639,2.01030908303e-07,0.0566819213614,0.0661007369222,quality_limited,False
30,8,8.65039792486,23347.4815769,0.933899263078,2.01201192731e-07,0.0661007369222,0.0755115944324,quality_limited,False
30,9,8.58346011564,23112.2101392,0.924488405568,2.01371045898e-07,0.0755115944324,0.0849145273981,quality_limited,False
30,10,8.51650659159,22877.136815,0.915085472602,2.01540470344e-07,0.0849145273981,0.0943095690721,quality_limited,False
30,11,8.44947884739,22642.2607732,0.905690430928,2.01709468586e-07,0.0943095690721,0.103696752457,quality_limited,False
30,12,8.38228951599,22407.5811886,0.896303247543,2.01878043118e-07,0.103696752457,0.113076110308,quality_limited,False
30,13,8.31493735779,22173.0972423,0.886923889692,2.02046196409e-07,0.113076110308,0.122447675135,quality_limited,False
30,14,8.24742126845,21938.8081216,0.877552324865,2.02213930907e-07,0.122447675135,0.131811479206,quality_limited,False
30,15,8.17974005695,21704.7130199,0.868188520794,2.02381249039e-07,0.131811479206,0.141167554548,quality_limited,False
30,16,8.11189259401,21470.8111363,0.858832445452,2.02548153207e-07,0.141167554548,0.150515932954,quality_limited,False
30,17,8.04387773435,21237.1016762,0.849484067046,2.02714645795e-07,0.150515932954,0.159856645978,quality_limited,False
30,18,7.97569428063,21003.5838506,0.840143354022,2.02880729161e-07,0.159856645978,0.169189724945,quality_limited,False
30,19,7.90734110133,20770.2568764,0.830810275055,2.03046405646e-07,0.169189724945,0.17851520095,quality_limited,False
30,20,7.83881699118,20537.1199762,0.82148479905,2.03211677568e-07,0.17851520095,0.187833104861,quality_limited,False
30,21,7.77012078089,20304.1723785,0.812166895139,2.03376547225e-07,0.187833104861,0.197143467318,quality_limited,False
