y_um,column_density_m2,phase_rad,theta_F_rad,pci_I_I0,dgi_I_I0,dark_I_I0,dual_S,port_H_I_I0,port_V_I_I0
-50,0,0,-0,0.902481258956,9.99523002399e-05,2.37831960742e-11,9.75360934267e-06,0.500004293841,0.499994540243
-49.90234375,0,0,-0,0.902481312835,9.99523373704e-05,2.36465727657e-11,9.72555403318e-06,0.500004280274,0.499994554731
-49.8046875,0,0,-0,0.902481472537,9.99524486472e-05,2.32439156469e-11,9.64239444564e-06,0.500004240072,0.499994597689
-49.70703125,0,0,-0,0.902481732339,9.9952633727e-05,2.25962600662e-11,9.50711022864e-06,0.50000417472,0.499994667621
-49.609375,0,0,-0,0.90248208295,9.99528920395e-05,2.17367260909e-11,9.32453776118e-06,0.500004086629,0.499994762102
-49.51171875,0,0,-0,0.902482511876,9.99532227919e-05,2.07078500201e-11,9.10118095427e-06,0.500003979037,0.499994877867
-49.4140625,0,0,-0,0.90248300391,9.99536249746e-05,1.95582933073e-11,8.84495686142e-06,0.50000385589,0.499995010943
-49.31640625,0,0,-0,0.902483541721,9.99540973716e-05,1.83392979097e-11,8.5648861002e-06,0.50000372168,0.499995156803
-49.21875,0,0,-0,0.902484106539,9.99546385738e-05,1.71012671377e-11,8.27074025442e-06,0.500003581272,0.499995310541
-49.12109375,0,0,-0,0.902484678885,9.99552469971e-05,1.58908099947e-11,7.97266012493e-06,0.500003439716,0.499995467065
-49.0234375,0,0,-0,0.902485239328,9.99559209051e-05,1.47485021109e-11,7.68075985565e-06,0.500003302046,0.499995621294
-48.92578125,0,0,-0,0.90248576925,9.99566584343e-05,1.37075014369e-11,7.40473252648e-06,0.500003173083,0.499995768358
-48.828125,0,0,-0,0.902486251564,9.99574576233e-05,1.27930298425e-11,7.15347276053e-06,0.50000305725,0.499995903784
-48.73046875,0,0,-0,0.902486671382,9.99583164417e-05,1.20226121118e-11,6.93473124204e-06,0.500002958396,0.499996023672
-48.6328125,0,0,-0,0.90248701659,9.99592328191e-05,1.14068693877e-11,6.75481479937e-06,0.500002879649,0.499996124841
-48.53515625,0,0,-0,0.902487278314,9.99602046708e-05,1.09506084576e-11,6.61834393137e-06,0.500002823293,0.499996204956
-48.4375,0,0,-0,0.902487451255,9.99612299197e-05,1.06539385798e-11,6.52807740941e-06,0.500002790683,0.499996262612
-48.33984375,0,0,-0,0.902487533888,9.99623065117e-05,1.05131835936e-11,6.48481095181e-06,0.500002782192,0.499996297387
