Delta_over_2pi_GHz,power_mW,SNR_exposure_us,N_max_exposure_us,QE,read_noise_e_rms,spatial_observable,PCI_SNR_per_frame,N_max_clean_continuous,PCI_SNR_total
0.75,2.0,40.0,40.0,1.0,0.0,legacy ideal analytical peak object-space camera pixel,30.178947709604994,12.945915599854674,108.58516065448036
1.0,2.0,40.0,40.0,1.0,0.0,legacy ideal analytical peak object-space camera pixel,22.6380400033736,23.01101054709497,108.594209624921
1.5,2.0,40.0,40.0,1.0,0.0,legacy ideal analytical peak object-space camera pixel,15.093850636466073,51.7684246820672,108.6006745600739
2.0,2.0,40.0,40.0,1.0,0.0,legacy ideal analytical peak object-space camera pixel,11.32086684695257,92.02880447102841,108.6029375600918
3.0,2.0,40.0,40.0,1.0,0.0,legacy ideal analytical peak object-space camera pixel,7.547472614316097,207.05846101091737,108.60455407526571
