detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction,kappa_F,numerical_aperture,read_noise_electrons_per_pixel_per_port
0.75,165,Faraday dual-port,8,22.4942543605,22.4942543605,1,1,depletion,0.221639832415,0.439122539191,0.0437110940525,0.106555208868,-0.494505494505,0.13,0.7
0.75,170,Faraday dark-field,8,12.2054579177,12.2054579177,1,1,depletion,0.228289312866,0.452178013523,0.0450356726601,0.106555208868,-0.494505494505,0.13,0.7
0.75,170,Faraday dual-port,8,22.8333468321,22.8333468321,1,1,depletion,0.228289312866,0.452178013523,0.0450356726601,0.106555208868,-0.494505494505,0.13,0.7
0.75,175,Faraday dark-field,8,12.3962239052,12.3962239052,1,1,depletion,0.234934991959,0.465219641278,0.0463602512678,0.106555208868,-0.494505494505,0.13,0.7
0.75,175,Faraday dual-port,8,23.1674767913,23.1674767913,1,1,depletion,0.234934991959,0.465219641278,0.0463602512678,0.106555208868,-0.494505494505,0.13,0.7
0.75,180,Faraday dark-field,8,12.5841459564,12.5841459564,1,1,depletion,0.241576880533,0.478247495575,0.0476848298754,0.106555208868,-0.494505494505,0.13,0.7
0.75,180,Faraday dual-port,8,23.4968559339,23.4968559339,1,1,depletion,0.241576880533,0.478247495575,0.0476848298754,0.106555208868,-0.494505494505,0.13,0.7
0.75,185,Faraday dark-field,8,12.7693460771,12.7693460771,1,1,depletion,0.248214989375,0.49126164884,0.0490094084831,0.106555208868,-0.494505494505,0.13,0.7
0.75,185,Faraday dual-port,8,23.8216813196,23.8216813196,1,1,depletion,0.248214989375,0.49126164884,0.0490094084831,0.106555208868,-0.494505494505,0.13,0.7
0.75,190,Faraday dark-field,8,12.9519378715,12.9519378715,1,1,depletion,0.254849329214,0.504262172816,0.0503339870907,0.106555208868,-0.494505494505,0.13,0.7
0.75,190,Faraday dual-port,8,24.1421367506,24.1421367506,1,1,depletion,0.254849329214,0.504262172816,0.0503339870907,0.106555208868,-0.494505494505,0.13,0.7
0.75,195,Faraday dark-field,8,13.1320273245,13.1320273245,1,1,depletion,0.261479910727,0.517249138573,0.0516585656984,0.106555208868,-0.494505494505,0.13,0.7
0.75,195,Faraday dual-port,8,24.4583939878,24.4583939878,1,1,depletion,0.261479910727,0.517249138573,0.0516585656984,0.106555208868,-0.494505494505,0.13,0.7
0.75,200,Faraday dark-field,8,13.3097134941,13.3097134941,1,1,depletion,0.268106744535,0.530222616517,0.052983144306,0.106555208868,-0.494505494505,0.13,0.7
0.75,200,Faraday dual-port,8,24.7706138268,24.7706138268,1,1,depletion,0.268106744535,0.530222616517,0.052983144306,0.106555208868,-0.494505494505,0.13,0.7
0.75,205,Faraday dark-field,8,13.485089124,13.485089124,1,1,depletion,0.274729841205,0.543182676398,0.0543077229137,0.106555208868,-0.494505494505,0.13,0.7
0.75,205,Faraday dual-port,8,25.0789470536,25.0789470536,1,1,depletion,0.274729841205,0.543182676398,0.0543077229137,0.106555208868,-0.494505494505,0.13,0.7
0.75,210,Faraday dark-field,8,13.6582411898,13.6582411898,1,1,depletion,0.281349211251,0.556129387319,0.0556323015214,0.106555208868,-0.494505494505,0.13,0.7
0.75,210,Faraday dual-port,8,25.3835352963,25.3835352963,1,1,depletion,0.281349211251,0.556129387319,0.0556323015214,0.106555208868,-0.494505494505,0.13,0.7
0.75,215,Faraday dark-field,8,13.8292513861,13.8292513861,1,1,depletion,0.287964865134,0.569062817747,0.056956880129,0.106555208868,-0.494505494505,0.13,0.7
0.75,215,Faraday dual-port,8,25.6845117845,25.6845117845,1,1,depletion,0.287964865134,0.569062817747,0.056956880129,0.106555208868,-0.494505494505,0.13,0.7
0.75,220,Faraday dark-field,8,13.9981965613,13.9981965613,1,1,depletion,0.294576813262,0.581983035517,0.0582814587367,0.106555208868,-0.494505494505,0.13,0.7
