position_um,pci_intensity_y_line_incident_i0,pci_intensity_z_line_incident_i0,pci_signal_y_line_minus_plate_background,pci_signal_z_line_minus_plate_background
-50,0.902538705345,0.897537363863,3.87053449056e-05,-0.00496263613692
-49.90234375,0.902538733584,0.897572867259,3.873358393e-05,-0.0049271327414
-49.8046875,0.902538817353,0.897678874465,3.88173531909e-05,-0.00482112553512
-49.70703125,0.902538953825,0.897853883466,3.8953824816e-05,-0.00464611653404
-49.609375,0.902539138337,0.8980954139,3.91383373275e-05,-0.0044045860998
-49.51171875,0.902539364472,0.898400041262,3.9364472273e-05,-0.00409995873834
-49.4140625,0.90253962416,0.898763444191,3.96241598384e-05,-0.00373655580859
-49.31640625,0.902539907812,0.899180464272,3.99078118271e-05,-0.00331953572786
-49.21875,0.90254020448,0.899645177577,4.02044799325e-05,-0.00285482242273
-49.12109375,0.902540502037,0.900150977069,4.05020368742e-05,-0.00234902293103
-49.0234375,0.902540787378,0.900690664789,4.07873775796e-05,-0.0018093352112
-48.92578125,0.902541046637,0.901256552643,4.10466373016e-05,-0.0012434473571
-48.828125,0.902541265423,0.901840570452,4.12654232933e-05,-0.000659429548021
-48.73046875,0.902541429056,0.902434379818,4.1429056434e-05,-6.56201819215e-05
-48.6328125,0.902541522819,0.903029492257,4.1522819062e-05,0.000529492257192
-48.53515625,0.902541532205,0.903617389962,4.15322051448e-05,0.00111738996201
-48.4375,0.902541443169,0.904189647495,4.14431688891e-05,0.001689647495
-48.33984375,0.902541242368,0.904738052671,4.12423679033e-05,0.002238052671
-48.2421875,0.902540917397,0.905254724873,4.0917397095e-05,0.00275472487285
-48.14453125,0.90254045701,0.905732229055,4.04570096264e-05,0.00323222905453
-48.046875,0.902539851321,0.906163683726,3.98513214391e-05,0.00366368372611
-47.94921875,0.902539091996,0.906542861283,3.90919960946e-05,0.00404286128281
-47.8515625,0.902538172407,0.906864279138,3.8172406982e-05,0.00436427913787
-47.75390625,0.902537087774,0.907123280244,3.70877742721e-05,0.00462328024427
-47.65625,0.902535835274,0.907316101742,3.58352743873e-05,0.00481610174243
-47.55859375,0.90253441412,0.907439930647,3.44141201577e-05,0.00493993064734
-47.4609375,0.90253282561,0.907492945686,3.28256102958e-05,0.00499294568639
-47.36328125,0.902531073147,0.907474344615,3.10731472666e-05,0.00497434461525
-47.265625,0.902529162223,0.907384356568,2.91622231299e-05,0.00488435656811
-47.16796875,0.902527100373,0.907224239238,2.71003734077e-05,0.0047242392376
-47.0703125,0.9025248971,0.906996260922,2.48970995275e-05,0.00449626092216
-46.97265625,0.902522563761,0.906703667721,2.25637608672e-05,0.00420366772124
-46.875,0.902520113438,0.906350636395,2.01134379062e-05,0.0038506363946
-46.77734375,0.902517560768,0.905942213628,1.75607684253e-05,0.00344221362834
-46.6796875,0.902514921759,0.905484242661,1.49217591209e-05,0.00298424266107
-46.58203125,0.902512213575,0.904983278416,1.22135753921e-05,0.00248327841585
-46.484375,0.902509454312,0.904446492453,9.45431238786e-06,0.00194649245293
-46.38671875,0.902506662751,0.903881569203,6.66275071526e-06,0.00138156920323
-46.2890625,0.9025038581,0.90329659506,3.85810045056e-06,0.00079659505989
-46.19140625,0.902501059737,0.902699941994,1.05973729503e-06,0.000199941993981
-46.09375,0.902498286935,0.902100147421,-1.7130651575e-06,-0.000399852578911
-45.99609375,0.902495558597,0.901505792077,-4.44140297817e-06,-0.000994207923489
-45.8984375,0.902492892995,0.900925377661,-7.10700522555e-06,-0.00157462233949
-45.80078125,0.902490307511,0.900367205992,-9.69248900906e-06,-0.0021327940079
-45.703125,0.902487818398,0.899839261362,-1.21816023748e-05,-0.00266073863779
-45.60546875,0.902485440549,0.899349097707,-1.45594512646e-05,-0.00315090229272
-45.5078125,0.902483187293,0.898903732134,-1.68127070282e-05,-0.00359626786569
