probe_power_mw,faraday_signal_rad,faraday_signal_scale,scattered_photons_per_atom,reabsorption_fraction,destructiveness_metric,estimated_per_frame_snr,signal_per_scattered_photon,information_per_scattered_photon,signal_to_destruction
0.5,0.0755126983416,0.0755126983416,0.00141478632425,0.00111314634567,0.00141636118848,3.37703053312,53.3739244204,53.3739244204,53.3145774933
1,0.0755126983416,0.0755126983416,0.00282957156861,0.00111314634567,0.00283272129586,3.37703053312,26.6869723951,26.6869723951,26.6572989203
1.5,0.0755126983416,0.0755126983416,0.00424435573308,0.00111314634567,0.00424908032216,3.37703053312,17.79132172,17.79132172,17.7715393959
2,0.0755126983416,0.0755126983416,0.00565913881766,0.00111314634567,0.00566543826736,3.37703053312,13.3434963825,13.3434963825,13.3286596337
3,0.0755126983416,0.0755126983416,0.00848870174717,0.00111314634567,0.0084981509145,3.37703053312,8.89567104496,8.89567104496,8.88577987156
4,0.0755126983416,0.0755126983416,0.0113182603571,0.00111314634567,0.0113308592373,3.37703053312,6.67175837618,6.67175837618,6.66433999048
6,0.0755126983416,0.0755126983416,0.0169773646185,0.00111314634567,0.0169962629099,3.37703053312,4.44784570741,4.44784570741,4.44290010939
