detuning_hz,faraday_signal_rad,faraday_signal_scale,scattered_photons_per_atom,reabsorption_fraction,destructiveness_metric,estimated_per_frame_snr,signal_per_scattered_photon,information_per_scattered_photon,signal_to_destruction
750000000,0.150981603671,0.150981603671,0.0226298877234,0.00444332168422,0.0227304395942,6.7521025832,6.67177873423,6.67177873423,6.64226501406
1000000000,0.113255359881,0.113255359881,0.0127314993648,0.00250240603406,0.0127633587456,5.06493367019,8.8956812262,8.8956812262,8.87347618585
1250000000,0.090611383271,0.090611383271,0.00814880776243,0.00160244093391,0.00816186574555,4.05226425058,11.1195877867,11.1195877867,11.1017978114
1500000000,0.0755126983416,0.0755126983416,0.00565913881766,0.00111314634567,0.00566543826736,3.37703053312,13.3434963825,13.3434963825,13.3286596337
1750000000,0.0647268303246,0.0647268303246,0.0041578429788,0.000817972544525,0.0041612439802,2.89467185148,15.5674061417,15.5674061417,15.5546828382
2000000000,0.0566369194826,0.0566369194826,0.00318340236791,0.000626335152721,0.00318539624472,2.53288003998,17.7913166282,17.7913166282,17.7801802763
2500000000,0.0453104227442,0.0453104227442,0.00203741803703,0.000400910899515,0.00203823486013,2.0263437069,22.2391389104,22.2391389104,22.2302265703
3000000000,0.0377590872265,0.0377590872265,0.00141488892321,0.000278431626889,0.00141528287304,1.68863771614,26.686962211,26.686962211,26.679533785
