readout,sorted_index,relative_data_singular_value,sorted_generalised_data_mode_fraction
dual_port,0,1.0,0.9958817825205487
dual_port,1,0.9745661941661214,0.9924890716680402
dual_port,2,0.9552721150526469,0.9902763573048032
dual_port,3,0.915856264273858,0.9845167599208505
dual_port,4,0.8802595859225278,0.9751675171514129
dual_port,5,0.8536775287709614,0.9717918319174521
dual_port,6,0.848702235973368,0.9695145405135237
dual_port,7,0.8202878689525192,0.9612844088721935
dual_port,8,0.8132609557412627,0.9548172158450269
dual_port,9,0.7817465661561769,0.9422664950116144
dual_port,10,0.7737139206411708,0.9382455722382785
dual_port,11,0.7629161853416065,0.9343116011476225
dual_port,12,0.7245527177517428,0.9183130842901251
dual_port,13,0.7064570188964933,0.9085247087831813
dual_port,14,0.6968019048528906,0.8979344715880516
dual_port,15,0.6833301424368525,0.8945058033026779
dual_port,16,0.678484129753019,0.8761425628013708
dual_port,17,0.673797125512319,0.8719631145594265
dual_port,18,0.6539855566948385,0.8653985369536468
dual_port,19,0.646163076076904,0.8597488030306186
dual_port,20,0.6283087046557637,0.8546388532346988
dual_port,21,0.6258129753100569,0.8486067420330679
dual_port,22,0.6081039303768341,0.8366474650286534
dual_port,23,0.6014573794388632,0.8324658845414994
dual_port,24,0.5905562126168278,0.8218569965419865
dual_port,25,0.5811576072562863,0.8016076368125057
dual_port,26,0.5684266642932987,0.7909828905963725
dual_port,27,0.5584264166177049,0.7765644571194326
dual_port,28,0.5348852115759122,0.764895246655237
dual_port,29,0.5325412264442629,0.7497362254964602
dual_port,30,0.4972943458176029,0.709829569482948
dual_port,31,0.49205806194184354,0.7000731739028816
dual_port,32,0.46450984791545125,0.6802150798638414
dual_port,33,0.4517731334646693,0.6546264493501058
dual_port,34,0.40091818703022547,0.6402318165211663
dual_port,35,0.3949793697328194,0.6284948017340681
dual_port,36,0.3659057532775318,0.5744433404670704
dual_port,37,0.35143327394232876,0.48463315609896335
dual_port,38,0.3429155926209541,0.4579292872559871
dual_port,39,0.34189137524610747,0.40248733070036796
dual_port,40,0.2774139371116128,0.39740243280449683
dual_port,41,0.24566656544543172,0.310141086578549
dual_port,42,0.21278660763487942,0.30478890445409823
dual_port,43,0.1783846926173857,0.25818577295509465
dual_port,44,0.1520215072628992,0.18426349864032465
dark_field,0,1.0,0.9931859142611512
dark_field,1,0.9407180978834093,0.988288154814184
dark_field,2,0.8741067875385313,0.9830593070958644
dark_field,3,0.8086408466332605,0.960824384305211
dark_field,4,0.7396176744295433,0.9506254721387194
dark_field,5,0.6928593703998095,0.9288990556912344
dark_field,6,0.6483391304105811,0.9179452058564316
dark_field,7,0.6002871879006365,0.8733012890927561
dark_field,8,0.571627284825782,0.8684837591598081
dark_field,9,0.5640650807769713,0.8413440031984111
dark_field,10,0.5385087142268532,0.8113686561776255
dark_field,11,0.5335666798783435,0.7786015642031806
dark_field,12,0.48737168346122883,0.7429467211766415
dark_field,13,0.4681251090065924,0.7301173333042316
dark_field,14,0.46512976318847116,0.7058997796585331
dark_field,15,0.4489636892991445,0.6775257299258451
dark_field,16,0.43769265334661905,0.6656613231758727
dark_field,17,0.43381020755569516,0.629238279197604
dark_field,18,0.4202589844213796,0.6141159042545051
dark_field,19,0.3996131877874078,0.5781596168192853
dark_field,20,0.3814388911234215,0.5519567939453947
dark_field,21,0.37292768701437146,0.5171299640402401
dark_field,22,0.3506267639942876,0.489859705673343
dark_field,23,0.32701851909102614,0.4503341130516774
dark_field,24,0.3202998924613001,0.38653324501522435
dark_field,25,0.3055089967381512,0.3836091066475975
dark_field,26,0.29527710289144615,0.3436461050849408
dark_field,27,0.2733867789446541,0.3256685073257575
dark_field,28,0.26128303774061173,0.30950622802975575
dark_field,29,0.24532047160364093,0.28593839569731055
dark_field,30,0.22219583457442404,0.28326961238130505
dark_field,31,0.2088437708676793,0.27082169279649676
dark_field,32,0.19807248306566838,0.23025892397914388
dark_field,33,0.19179879189916574,0.20138278218721184
dark_field,34,0.17347689459945997,0.1752634140991078
dark_field,35,0.16393137269626376,0.14651963429686887
dark_field,36,0.1629916911736323,0.14306018217945762
dark_field,37,0.14740410684033547,0.13187812975735436
dark_field,38,0.1412746149686053,0.12033944648342722
dark_field,39,0.12342080753241153,0.11334985192846919
dark_field,40,0.11936408217912947,0.10434716567668288
dark_field,41,0.11639237809401665,0.09834365859460835
dark_field,42,0.11380767843106354,0.08746020957669982
dark_field,43,0.11173728319529769,0.07984857858335424
dark_field,44,0.10799758726936229,0.07018463576441682
dark_field,45,0.0857672875513192,0.04819792757547944
dark_field,46,0.0788834305228635,0.0372728041288723
dark_field,47,0.07786136806746984,0.035501565455851716
dark_field,48,0.07455987762268243,0.03209448205790311
dark_field,49,0.07149379325407723,0.027392722688633745
dark_field,50,0.06758702491162245,0.024320699042181922
dark_field,51,0.061445619057453174,0.023027139238592308
dark_field,52,0.059608438559907696,0.021299575103614483
dark_field,53,0.05890018873266237,0.019991138849648444
dark_field,54,0.055711216965307224,0.014917714238550317
dark_field,55,0.04612794468520322,0.013883031845409472
dark_field,56,0.04005581143047439,0.011900706840052828
dark_field,57,0.03101296636794421,0.009218831875538437
dark_field,58,0.03014618100496145,0.005039478392765241
dark_field,59,0.028302185557610375,0.0032120023973609157
dark_field,60,0.019295884017205188,0.003047254668893102
dark_field,61,0.01837274241807159,0.0020473753984708485
dark_field,62,0.017036143922827915,0.0015345822852170002
