readout,draw_index,seed,success,false_integrated_density,false_integrated_density_fraction_of_reference,false_peak_column_density_m2,false_peak_rotation_rad,weighted_chi_square,null_quasi_deviance,fitted_quasi_deviance,quasi_deviance_improvement_over_blank,message
dual_port,0,1827643208,True,5567.500233920482,0.1150218197589519,42964095902297.64,0.016218871902080784,6282.186346926399,35906.93958068165,35881.079138462796,25.86044221885095,`ftol` termination condition is satisfied.
dual_port,1,2389368399,True,4379.746001661822,0.09048340081315054,45988912376688.53,0.01736073489012113,5985.371061538809,35605.84194149744,35584.27966484028,21.56227665716142,`ftol` termination condition is satisfied.
dual_port,2,1956257638,True,5958.780677132033,0.12310548149641894,62592171817725.945,0.02362843661584971,6331.39169111624,35968.38558036211,35930.23471439824,38.15086596387118,`ftol` termination condition is satisfied.
dual_port,3,2369566608,True,5920.075563940952,0.12230585287205166,44709056238153.09,0.016877591411175306,6192.954726890682,35824.455603312505,35791.81933970432,32.63626360818307,`ftol` termination condition is satisfied.
dual_port,4,738649588,True,4819.293938912575,0.09956424526571984,65756454755664.984,0.024822947952689658,6302.521718070748,35925.96318054058,35901.412053285996,24.55112725458457,`ftol` termination condition is satisfied.
dual_port,5,352799762,True,5439.617577756176,0.11237982690585614,55884118139618.23,0.02109615795310488,6195.383040137303,35826.22782076382,35794.25662621197,31.971194551850203,`ftol` termination condition is satisfied.
dual_port,6,1284800606,True,5071.913596096365,0.10478324328194465,41773377072005.27,0.015769377602844883,6262.422636601681,35889.59382490428,35861.31150855313,28.282316351149348,`ftol` termination condition is satisfied.
dual_port,7,2567196914,True,3494.231800016818,0.0721891124222758,48535807269438.98,0.018322183307597877,6319.209440804335,35933.56325298402,35918.14630028871,15.41695269531192,`ftol` termination condition is satisfied.
dual_port,8,1629001175,True,4387.649404573079,0.09064668123469455,56466212802491.97,0.021315897681679716,6307.491542235672,35930.78304489816,35906.3978532654,24.385191632762144,`ftol` termination condition is satisfied.
dual_port,9,777681712,True,3902.9709594558162,0.08063346266028415,46267770219299.3,0.01746600324345689,6187.380359528221,35805.61423330082,35786.298826024125,19.315407276691985,`ftol` termination condition is satisfied.
dual_port,10,3329289662,True,3556.4946643942917,0.07347543261324216,65157771196219.12,0.024596945944347266,6395.657175743081,36014.22064269728,35994.579302681566,19.64134001571074,`ftol` termination condition is satisfied.
dual_port,11,2826337203,True,4120.914836692025,0.08513607609751395,42555500397338.695,0.016064627805573665,6191.763124872325,35811.709981088585,35790.675402348104,21.034578740480356,`ftol` termination condition is satisfied.
dark_field,0,3962070651,True,26396.51000686813,0.545338929269764,140281729295304.11,0.05295611020925118,3040.2443792491817,5221.501520359037,5207.817530948474,13.6839894105633,`ftol` termination condition is satisfied.
dark_field,1,2220202085,True,25821.080528764556,0.5334508389359428,108256110039228.55,0.04086649432439036,3123.0135269497823,5296.72981544353,5285.697464072051,11.032351371479308,`ftol` termination condition is satisfied.
dark_field,2,2070991057,True,31894.996097475032,0.6589349507315431,136003278115495.95,0.05134100228792043,3001.8006665016483,5197.988209248912,5184.342995202537,13.645214046375258,`ftol` termination condition is satisfied.
dark_field,3,2166269864,True,18165.35177586581,0.37528724383192114,137337398866865.14,0.051844630564367125,3227.807708931798,5384.317727468555,5374.125609528746,10.192117939808668,`ftol` termination condition is satisfied.
dark_field,4,384643834,True,23266.651218154253,0.48067758426018947,129067018993555.88,0.04872257646478169,3099.252561904008,5265.510851313013,5255.592040097922,9.9188112150905,`ftol` termination condition is satisfied.
dark_field,5,1611467532,True,29864.46289528413,0.616985132288068,141109396575784.62,0.053268553176285406,3005.6775782048094,5203.9304491428975,5185.8893227492035,18.041126393693958,`ftol` termination condition is satisfied.
dark_field,6,1290566131,True,28971.260743537554,0.5985320146248546,207457054292286.88,0.07831467922427947,3046.689044134439,5252.832561472287,5226.606292347547,26.2262691247397,`ftol` termination condition is satisfied.
dark_field,7,1362164259,True,34835.63088221501,0.7196870207766464,136490766296470.17,0.05152502823318829,2845.0418984682824,5064.084157473165,5043.454236286187,20.62992118697821,`ftol` termination condition is satisfied.
dark_field,8,2685210165,True,25071.74066003571,0.5179698453665122,109900101879677.14,0.04148709840108119,2993.309725102975,5165.408702853982,5154.688599941773,10.720102912208858,`ftol` termination condition is satisfied.
dark_field,9,123772064,True,23535.552781754523,0.4862329584643771,114046682716842.34,0.043052425496117507,3057.3474728857195,5225.291713914248,5215.443120450225,9.848593464022997,`ftol` termination condition is satisfied.
dark_field,10,1634852296,True,33685.359935431115,0.6959229880948247,134622230656585.83,0.05081965926053091,2987.3612167102497,5181.911926781613,5170.700385112433,11.211541669180406,`ftol` termination condition is satisfied.
dark_field,11,3432084704,True,29304.602892571078,0.6054186996672002,105025692954283.34,0.039647017461426334,3000.884011137938,5181.585570009118,5168.65261549676,12.932954512358265,`ftol` termination condition is satisfied.
