readout,variant,weighted_chi_square,regularisation_objective,integrated_column_density,peak_column_density_m2,centroid_y_um,centroid_z_um,rms_y_um,rms_z_um
dual_port,curvature_0_um2,6103.1686087985645,0.0,50147.12767559257,613554527524855.4,0.34725012569807356,-0.07949709978659611,10.646190066232107,1.8919269456796306
dual_port,curvature_3_um2,6103.338198753734,6.809791200413491,50147.83161776849,609150564450130.4,0.3446592340377292,-0.07557280361667398,10.621317907085661,1.8983804566399378
dual_port,curvature_10_um2,6105.684660744424,20.69618737795014,50197.922502152534,598031746830858.5,0.33169240866355915,-0.07026745015888668,10.579822972212625,1.9157287912542758
dual_port,curvature_30_um2,6119.685866190674,50.6740388740657,50407.50841881351,568602350047583.8,0.3158820095742326,-0.05902321478650201,10.526010947827475,1.972396489559214
dual_port,curvature_100_um2,6190.352353324519,108.00218491651329,51014.10094716787,499249761716873.0,0.3300253057776244,-0.0551287834537945,10.459294815640712,2.1408285147178625
dark_field,curvature_0_um2,3013.2620862553667,0.0,66878.36451834918,525368723470686.9,-0.6324663033383725,-0.006452773820165536,12.734570710214793,2.8940430191634334
dark_field,curvature_3_um2,3031.3870147783246,6.840055807793865,64158.028254553734,539784519008846.8,-0.8638057849419636,0.10467802031412908,12.731695648266722,2.679034726958475
dark_field,curvature_10_um2,3043.9884489806404,13.53411609587102,62351.65138656379,524050491460985.5,-1.0105283090477053,0.08887411103475316,12.280382781996707,2.52791497597273
dark_field,curvature_30_um2,3052.2869550665973,24.66508031380889,64424.431763625566,489130240310086.44,-1.3174979402427422,0.14189295748207312,11.661518760747342,2.577960308752549
dark_field,curvature_100_um2,3082.944506014826,40.889561003110224,70627.04293314215,430668989255508.5,-0.9905682132030089,0.1367974076758548,11.67484759826009,2.8116188983045785
