readout,feature,estimate,bootstrap_mean,bootstrap_standard_deviation,bootstrap_bias,conditional_interval_lower,conditional_interval_upper,confidence_level,successful_draws,requested_draws
dual_port,integrated_column_density,50407.50841881351,52372.37335006021,1110.2183559372093,1964.8649312467023,51407.74115808909,53523.46150417054,0.68,16,16
dual_port,peak_column_density_m2,568602350047583.8,532286082678197.8,24671958477142.06,-36316267369385.94,502597673505768.1,553135831213137.0,0.68,16,16
dual_port,centroid_y_um,0.3158820095742326,0.33979234867985547,0.342833919444435,0.023910339105622846,0.01457131205326026,0.6655083251033654,0.68,16,16
dual_port,centroid_z_um,-0.05902321478650201,-0.040154899253453905,0.04833261019423861,0.018868315533048102,-0.09424965498488432,0.008379589795821782,0.68,16,16
dual_port,rms_y_um,10.526010947827475,10.884906768075462,0.1590885295006095,0.3588958202479873,10.720556556897808,11.074739096013154,0.68,16,16
dual_port,rms_z_um,1.972396489559214,2.1763195620610016,0.053531098636704556,0.20392307250178754,2.141630566535929,2.2191836485960117,0.68,16,16
dark_field,integrated_column_density,64424.431763625566,74064.13619911755,3485.072029581597,9639.704435491985,71711.93667824224,77368.44558797638,0.68,16,16
dark_field,peak_column_density_m2,489130240310086.44,451890942270866.5,23791477262912.484,-37239298039219.94,426715627866406.25,471460303118924.44,0.68,16,16
dark_field,centroid_y_um,-1.3174979402427422,-0.7931428792153379,1.191022977640727,0.5243550610274044,-1.8400080296020094,0.08941813375704968,0.68,16,16
dark_field,centroid_z_um,0.14189295748207312,0.060105461043185135,0.16750937987628564,-0.08178749643888798,-0.13687603764196696,0.24142771017529013,0.68,16,16
dark_field,rms_y_um,11.661518760747342,12.404846891378053,0.7019497359368766,0.7433281306307116,11.803242366796491,13.161741137957176,0.68,16,16
dark_field,rms_z_um,2.577960308752549,2.800099652121443,0.07824603658687204,0.22213934336889407,2.7324202731874796,2.877774179979672,0.68,16,16
