y_um,column_density_m2,phase_rad,theta_F_rad,pci_I_I0,dgi_I_I0,dark_I_I0,dual_S,port_H_I_I0,port_V_I_I0
-50,0,0,0,0.902538705345,0.000100010854287,4.14978276903e-10,4.07420099337e-05,0.500020893186,0.499980151133
-49.90234375,0,0,0,0.902538733584,0.000100010838626,4.15584019144e-10,4.07717346035e-05,0.500020907235,0.499980135458
-49.8046875,0,0,0,0.902538817353,0.00010001079171,4.17383513741e-10,4.08599109345e-05,0.500020948888,0.499980088935
-49.70703125,0,0,0,0.902538953825,0.00010001071374,4.20323462858e-10,4.10035622775e-05,0.50002101667,0.499980013066
-49.609375,0,0,0,0.902539138337,0.000100010605049,4.24314740925e-10,4.11977819108e-05,0.500021108148,0.499979910324
-49.51171875,0,0,0,0.902539364472,0.000100010466098,4.29232095488e-10,4.14358137035e-05,0.500021219973,0.499979784118
-49.4140625,0,0,0,0.90253962416,0.000100010297471,4.34914004888e-10,4.17091632899e-05,0.500021347935,0.499979638731
-49.31640625,0,0,0,0.902539907812,0.000100010099871,4.41162940361e-10,4.20077380432e-05,0.500021487034,0.499979479255
-49.21875,0,0,0,0.90254020448,0.000100009874111,4.47746311955e-10,4.23200136817e-05,0.500021631558,0.499979311504
-49.12109375,0,0,0,0.902540502037,0.000100009621111,4.54398383943e-10,4.2633224931e-05,0.500021775184,0.49997914192
-49.0234375,0,0,0,0.902540787378,0.000100009341891,4.60823424485e-10,4.29335772938e-05,0.500021911082,0.499978977466
-48.92578125,0,0,0,0.902541046637,0.000100009037565,4.66700306367e-10,4.32064766412e-05,0.500022032024,0.499978825511
-48.828125,0,0,0,0.902541265423,0.000100008709335,4.71688702755e-10,4.34367730735e-05,0.500022130514,0.499978693705
-48.73046875,0,0,0,0.902541429056,0.000100008358491,4.7543692814e-10,4.36090152562e-05,0.500022198908,0.499978589858
-48.6328125,0,0,0,0.902541522819,0.000100007986405,4.77591365519e-10,4.37077112855e-05,0.500022229545,0.4999785218
-48.53515625,0,0,0,0.902541532205,0.000100007594528,4.7780730336e-10,4.37175920135e-05,0.50002221488,0.499978497257
-48.4375,0,0,0,0.902541443169,0.000100007184391,4.7576088765e-10,4.36238727319e-05,0.500022147615,0.499978523713
-48.33984375,0,0,0,0.902541242368,0.000100006757605,4.7116178358e-10,4.34125091165e-05,0.500022020821,0.499978608285
-48.2421875,0,0,0,0.902540917397,0.000100006315854,4.63766045999e-10,4.30704434233e-05,0.500021828066,0.499978757598
-48.14453125,0,0,0,0.90254045701,0.000100005860901,4.53388625131e-10,4.25858370613e-05,0.500021563529,0.499978977669
-48.046875,0,0,0,0.902539851321,0.00010000539458,4.39914890133e-10,4.19482858666e-05,0.500021222103,0.499979273797
-47.94921875,0,0,0,0.902539091996,0.000100004918793,4.23310542604e-10,4.11490146638e-05,0.5000207995,0.499979650467
-47.8515625,0,0,0,0.902538172407,0.000100004435508,4.0362931769e-10,4.01810480016e-05,0.500020292326,0.499980111262
-47.75390625,0,0,0,0.902537087774,0.000100003946745,3.81017932425e-10,3.90393543119e-05,0.500019698159,0.499980658791
-47.65625,0,0,0,0.902535835274,0.000100003454571,3.55717837764e-10,3.77209611373e-05,0.500019015606,0.499981294633
-47.55859375,0,0,0,0.90253441412,0.000100002961082,3.28063458484e-10,3.62250395108e-05,0.500018244339,0.49998201929
-47.4609375,0,0,0,0.90253282561,0.000100002468387,2.98476757689e-10,3.45529560383e-05,0.500017385126,0.499982832162
-47.36328125,0,0,0,0.902531073147,0.000100001978591,2.67458132727e-10,3.27082917204e-05,0.500016439839,0.499983731541
-47.265625,0,0,0,0.902529162223,0.000100001493771,2.35573827698e-10,3.06968270639e-05,0.500015411443,0.499984714612
-47.16796875,0,0,0,0.902527100373,0.000100001015953,2.03440224981e-10,2.85264935363e-05,0.500014303975,0.499985777479
-47.0703125,0,0,0,0.9025248971,0.000100000547084,1.71705544308e-10,2.62072919474e-05,0.500013122501,0.499986915208
-46.97265625,0,0,0,0.902522563761,0.000100000089008,1.41029623318e-10,2.37511788349e-05,0.500011873059,0.49998812188
-46.875,0,0,0,0.902520113438,9.9999643442e-05,1.12062569662e-10,2.11719224341e-05,0.500010562586,0.499989390664
-46.77734375,0,0,0,0.902517560768,9.99992119442e-05,8.54231544132e-11,1.84849302796e-05,0.500009198833,0.499990713904
-46.6796875,0,0,0,0.902514921759,9.99987958965e-05,6.16778544208e-11,1.57070509288e-05,0.500007790266,0.499992083217
-46.58203125,0,0,0,0.902512213575,9.99983964816e-05,4.13214444126e-11,1.2856352703e-05,0.500006345954,0.499993489603
-46.484375,0,0,0,0.902509454312,9.99980146665e-05,2.47599873573e-11,9.95188270293e-06,0.500004875448,0.499994923567
-46.38671875,0,0,0,0.902506662751,9.99976511899e-05,1.22969759123e-11,7.01340967437e-06,0.500003388654,0.499996375246
-46.2890625,0,0,0,0.9025038581,9.99973065553e-05,4.12324297279e-12,4.06115455742e-06,0.500001895699,0.499997834546
-46.19140625,0,0,0,0.902501059737,9.99969810285e-05,3.11092084975e-13,1.11551275913e-06,0.500000406791,0.499999291279
-46.09375,0,0,0,0.902498286935,9.99966746415e-05,8.129072337e-13,-1.80322766623e-06,0.499998932077,0.500000735304
-45.99609375,0,0,0,0.902495558597,9.99963872018e-05,5.46429618856e-12,-4.67516766145e-06,0.499997481505,0.500002156671
-45.8984375,0,0,0,0.902492892995,9.99961183068e-05,1.39916129332e-11,-7.48107435709e-06,0.499996064685,0.500003545757
-45.80078125,0,0,0,0.902490307511,9.99958673635e-05,2.60235037386e-11,-1.02026495695e-05,0.499994690755,0.500004893401
-45.703125,0,0,0,0.902487818398,9.99956336124e-05,4.11059388019e-11,-1.28227854877e-05,0.499993368254,0.500006191033
-45.60546875,0,0,0,0.902485440549,9.99954161549e-05,5.87200367202e-11,-1.53258035972e-05,0.499992105,0.500007430797
-45.5078125,0,0,0,0.902483187293,9.99952139829e-05,7.83018705075e-11,-1.76976731333e-05,0.499990907988,0.500008605653
-45.41015625,0,0,0,0.902481070209,9.99950260106e-05,9.92633675105e-11,-1.99262056449e-05,0.499989783286,0.500009709482
-45.3125,0,0,0,0.902479098965,9.99948511066e-05,1.21013385157e-10,-2.20012225935e-05,0.499988735956,0.500010737167
-45.21484375,0,0,0,0.902477281191,9.99946881248e-05,1.42978061143e-10,-2.39146933156e-05,0.499987769985,0.500011684665
-45.1171875,0,0,0,0.902475622373,9.9994535935e-05,1.6461959893e-10,-2.56608411037e-05,0.499986888231,0.500012549057
-45.01953125,0,0,0,0.902474125788,9.99943934499e-05,1.85452753236e-10,-2.7236215639e-05,0.499986092388,0.500013328588
-44.921875,0,0,0,0.902472792469,9.99942596502e-05,2.05058419158e-10,-2.86397305149e-05,0.499985382971,0.500014022684
-44.82421875,0,0,0,0.9024716212,9.99941336049e-05,2.23093894351e-10,-2.98726651042e-05,0.499984759309,0.500014631956
-44.7265625,0,0,0,0.902470608549,9.99940144884e-05,2.39299566563e-10,-3.09386305716e-05,0.499984219569,0.50001515818
-44.62890625,0,0,0,0.902469748938,9.99939015928e-05,2.53501968065e-10,-3.18435003705e-05,0.499983760786,0.500015604266
-44.53125,0,0,0,0.902469034735,9.99937943364e-05,2.65613323293e-10,-3.25953061063e-05,0.499983378921,0.500015974206
-44.43359375,0,0,0,0.902468456391,9.9993692268e-05,2.75627885879e-10,-3.32041001798e-05,0.499983068925,0.500016273004
