detuning_hz,detuning_ghz,dimensionless_delta,scalar_phase_rad,abs_scalar_phase_rad,faraday_rotation_rad,residual_optical_depth,scattered_photons_per_atom,reabsorption_fraction,destructiveness_metric,signal_per_scattered_photon,signal_to_destruction,two_level_dispersive_response_abs,two_level_absorptive_response,normalised_abs_scalar_phase,normalised_scattered_photons_per_atom,normalised_residual_optical_depth,normalised_signal_per_scattered_photon,normalised_signal_to_destruction
500000000,0.5,33.8983050847,0.608354408205,0.608354408205,0.608354408205,0.0358929100841,0.0834065041486,0.202527541741,0.100298618399,7.29384853633,6.06543158735,0.029474349947,0.000869493323435,1,1,1,0.100002227456,0.0833901338375
506473347.965,0.506473347965,34.3371761332,0.600592159536,0.600592159536,0.600592159536,0.0349820356343,0.0812898970682,0.1988424988,0.0974537833284,7.38827555696,6.16284087722,0.0290982743723,0.000847427705163,0.987240581207,0.974622997306,0.97462244082,0.101296868049,0.0847293581949
513030504.397,0.513030504397,34.7817291117,0.592928620337,0.592928620337,0.592928620337,0.0340942578463,0.0792269575808,0.195194187629,0.0946915992042,7.48392514924,6.26168134576,0.0287269812032,0.000825921595529,0.974643418934,0.949889440752,0.949888369776,0.102608270697,0.0860882590054
519672554.34,0.51967255434,35.2320375824,0.585362547931,0.585362547931,0.585362547931,0.0332289920254,0.0772163272015,0.191583520991,0.0920097030448,7.58081314077,6.36196540756,0.0283604102327,0.000804960830505,0.962206470498,0.925783042818,0.925781496889,0.103936652403,0.0874670069502
526400596.884,0.526400596884,35.6881760599,0.577892714811,0.577892714811,0.577892714811,0.0323856682303,0.0752566817182,0.188011353279,0.0894057922913,7.67895556404,6.46370553854,0.027998501989,0.000784531603464,0.949927718147,0.902287926899,0.902285943225,0.105282232982,0.0888657735535
533215745.349,0.533215745349,36.1502200236,0.570517908469,0.570517908469,0.570517908469,0.0315637309038,0.0733467303324,0.184478480912,0.086877623724,7.77836865915,6.56691428718,0.0276411977269,0.000764620456219,0.937805168787,0.879388617004,0.87938623059,0.106645235093,0.0902847313371
540119127.468,0.540119127468,36.6182459301,0.563236931233,0.563236931233,0.563236931233,0.0307626385114,0.0714852148224,0.180985642876,0.0844230123831,7.87906887645,6.67160428577,0.02728843942,0.000745214270289,0.925836853709,0.857070027716,0.857067271482,0.108025884277,0.0917240539754
547111885.577,0.547111885577,37.0923312256,0.5560486001,0.5560486001,0.5560486001,0.0299818631899,0.0696709087253,0.177533521403,0.0820398304907,7.98107287925,6.7777882618,0.0269401697527,0.000726300258372,0.914020828321,0.835317454394,0.835314359289,0.109424408999,0.093183916451
554195176.799,0.554195176799,37.5725543593,0.548951746576,0.548951746576,0.548951746576,0.0292208904046,0.0679026165411,0.17412274278,0.0797260063752,8.08439754664,6.88547904924,0.0265963321122,0.000707865956036,0.902355171873,0.814116563621,0.81411315873,0.110841040676,0.0946644952107
561370173.239,0.561370173239,38.0589947958,0.541945216509,0.541945216509,0.541945216509,0.0284792186139,0.0661791729553,0.170753878259,0.0774795233974,8.18905997624,6.99468959984,0.0262568705807,0.000689899213617,0.890837987198,0.793453383891,0.793449696533,0.112276013728,0.0961659683212
