position_m,position_um,synthetic_od_centre_line
-3.5e-05,-35,-0
-3.42631578947e-05,-34.2631578947,-0
-3.35263157895e-05,-33.5263157895,-0
-3.27894736842e-05,-32.7894736842,-0
-3.20526315789e-05,-32.0526315789,-0
-3.13157894737e-05,-31.3157894737,-0
-3.05789473684e-05,-30.5789473684,-0
-2.98421052632e-05,-29.8421052632,-0
-2.91052631579e-05,-29.1052631579,-0
-2.83684210526e-05,-28.3684210526,-0
-2.76315789474e-05,-27.6315789474,-0
-2.68947368421e-05,-26.8947368421,-0
-2.61578947368e-05,-26.1578947368,-0
-2.54210526316e-05,-25.4210526316,-0
-2.46842105263e-05,-24.6842105263,-0
-2.39473684211e-05,-23.9473684211,-0
-2.32105263158e-05,-23.2105263158,-0
-2.24736842105e-05,-22.4736842105,-0
-2.17368421053e-05,-21.7368421053,-0
-2.1e-05,-21,-0
-2.02631578947e-05,-20.2631578947,-0
-1.95263157895e-05,-19.5263157895,0.0120202703744
-1.87894736842e-05,-18.7894736842,0.0480548916359
-1.80526315789e-05,-18.0526315789,0.0954214789692
-1.73157894737e-05,-17.3157894737,0.150062331186
-1.65789473684e-05,-16.5789473684,0.209638341285
-1.58421052632e-05,-15.8421052632,0.272519861204
-1.51052631579e-05,-15.1052631579,0.33746507604
-1.43684210526e-05,-14.3684210526,0.403477093112
-1.36315789474e-05,-13.6315789474,0.469728406424
-1.28947368421e-05,-12.8947368421,0.535516314703
-1.21578947368e-05,-12.1578947368,0.600234499668
-1.14210526316e-05,-11.4210526316,0.66335384348
-1.06842105263e-05,-10.6842105263,0.724408902503
-9.94736842105e-06,-9.94736842105,0.782988034885
-9.21052631579e-06,-9.21052631579,0.838725993339
-8.47368421053e-06,-8.47368421053,0.891298242404
-7.73684210526e-06,-7.73684210526,0.940416519751
-7e-06,-7,0.985825319336
-6.26315789474e-06,-6.26315789474,1.02729907413
-5.52631578947e-06,-5.52631578947,1.06463988145
-4.78947368421e-06,-4.78947368421,1.09767565789
-4.05263157895e-06,-4.05263157895,1.12625864096
-3.31578947368e-06,-3.31578947368,1.15026417625
-2.57894736842e-06,-2.57894736842,1.16958974437
-1.84210526316e-06,-1.84210526316,1.18415419338
-1.10526315789e-06,-1.10526315789,1.19389715137
-3.68421052632e-07,-0.368421052632,1.19877860064
3.68421052632e-07,0.368421052632,1.19877860064
1.10526315789e-06,1.10526315789,1.19389715137
1.84210526316e-06,1.84210526316,1.18415419338
2.57894736842e-06,2.57894736842,1.16958974437
3.31578947368e-06,3.31578947368,1.15026417625
4.05263157895e-06,4.05263157895,1.12625864096
4.78947368421e-06,4.78947368421,1.09767565789
5.52631578947e-06,5.52631578947,1.06463988145
6.26315789474e-06,6.26315789474,1.02729907413
7e-06,7,0.985825319336
7.73684210526e-06,7.73684210526,0.940416519751
8.47368421053e-06,8.47368421053,0.891298242404
9.21052631579e-06,9.21052631579,0.838725993339
9.94736842105e-06,9.94736842105,0.782988034885
1.06842105263e-05,10.6842105263,0.724408902503
1.14210526316e-05,11.4210526316,0.66335384348
1.21578947368e-05,12.1578947368,0.600234499668
1.28947368421e-05,12.8947368421,0.535516314703
1.36315789474e-05,13.6315789474,0.469728406424
1.43684210526e-05,14.3684210526,0.403477093112
1.51052631579e-05,15.1052631579,0.33746507604
1.58421052632e-05,15.8421052632,0.272519861204
1.65789473684e-05,16.5789473684,0.209638341285
1.73157894737e-05,17.3157894737,0.150062331186
1.80526315789e-05,18.0526315789,0.0954214789692
1.87894736842e-05,18.7894736842,0.0480548916359
1.95263157895e-05,19.5263157895,0.0120202703744
2.02631578947e-05,20.2631578947,-0
2.1e-05,21,-0
2.17368421053e-05,21.7368421053,-0
2.24736842105e-05,22.4736842105,-0
2.32105263158e-05,23.2105263158,-0
2.39473684211e-05,23.9473684211,-0
2.46842105263e-05,24.6842105263,-0
2.54210526316e-05,25.4210526316,-0
2.61578947368e-05,26.1578947368,-0
2.68947368421e-05,26.8947368421,-0
2.76315789474e-05,27.6315789474,-0
2.83684210526e-05,28.3684210526,-0
2.91052631579e-05,29.1052631579,-0
2.98421052632e-05,29.8421052632,-0
3.05789473684e-05,30.5789473684,-0
3.13157894737e-05,31.3157894737,-0
3.20526315789e-05,32.0526315789,-0
3.27894736842e-05,32.7894736842,-0
3.35263157895e-05,33.5263157895,-0
3.42631578947e-05,34.2631578947,-0
3.5e-05,35,-0
