shot,N0,condensate_fraction,loss_fraction,phi,snr,accumulated_snr
0,100000,1,0,0.0755126983416,8,8
1,99435.6843945,0.994356843945,0.00564315605536,0.0750865684007,7.95485475156,11.2818311509
2,98874.55331,0.9887455331,0.0112544669004,0.0746628431775,7.9099642648,13.7785067692
3,98316.5887757,0.983165887757,0.0168341122428,0.0742415091019,7.86532710206,15.8653906101
4,97761.7729224,0.977617729224,0.0223822707757,0.0738225526803,7.82094183379,17.688350697
5,97210.0879816,0.972100879816,0.0278991201842,0.0734059604951,7.77680703853,19.3224345799
6,96661.5162849,0.966615162849,0.0333848371505,0.0729917192047,7.7329213028,20.8123653141
7,96116.040264,0.96116040264,0.03883959736,0.0725798155424,7.68928322112,22.1873753838
8,95573.6424494,0.955736424494,0.0442635755063,0.0721702363169,7.64589139595,23.4678350442
9,95034.3054703,0.950343054703,0.0496569452975,0.0717629684108,7.60274443762,24.6686238904
10,94498.0120539,0.944980120539,0.0550198794613,0.071357998781,7.55984096431,25.8010116091
11,93964.7450249,0.939647450249,0.0603525497507,0.0709553144581,7.51717960199,26.8737825626
12,93434.4873051,0.934344873051,0.0656551269495,0.0705549025457,7.4747589844,27.8939457785
13,92907.2219122,0.929072219122,0.0709277808776,0.0701567502201,7.43257775298,28.8672032443
14,92382.9319603,0.923829319603,0.0761706803968,0.0697608447303,7.39063455683,29.7982701226
15,91861.6006584,0.918616006584,0.0813839934159,0.0693671733969,7.34892805267,30.6911004336
16,91343.2113104,0.913432113104,0.086567886896,0.0689757236123,7.30745690483,31.5490502589
17,90827.7473144,0.908277473144,0.0917225268562,0.06858648284,7.26621978515,32.3749984125
18,90315.1921621,0.903151921621,0.0968480783787,0.068199438614,7.22521537297,33.1714374032
19,89805.5294386,0.898055294386,0.101944705614,0.067814578539,7.18444235509,33.9405431799
20,89298.7428213,0.892987428213,0.107012571787,0.0674318902895,7.14389942571,34.6842294184
21,88794.81608,0.8879481608,0.1120518392,0.0670513616095,7.1035852864,35.4041903491
22,88293.733076,0.88293733076,0.11706266924,0.0666729803122,7.06349864608,36.1019349536
23,87795.4777615,0.877954777615,0.122045222385,0.0662967342796,7.02363822092,36.7788145711
24,87300.0341796,0.873000341796,0.126999658204,0.0659226114621,6.98400273437,37.4360454034
25,86807.3864631,0.868073864631,0.131926135369,0.0655505998781,6.94459091705,38.0747270306
26,86317.5188345,0.863175188345,0.136824811655,0.0651806876134,6.90540150676,38.6958577683
27,85830.4156054,0.858304156054,0.141695843946,0.0648128628214,6.86643324843,39.3003475045
28,85346.0611758,0.853460611758,0.146539388242,0.0644471137221,6.82768489407,39.889028504
29,84864.4400339,0.848644400339,0.151355599661,0.0640834286021,6.78915520271,40.4626645608
30,84385.5367553,0.843855367553,0.156144632447,0.0637217958139,6.75084294042,41.0219587997
31,83909.3360025,0.839093360025,0.160906639975,0.063362203776,6.7127468802,41.5675603619
32,83435.822525,0.83435822525,0.16564177475,0.0630046409721,6.674865802,42.1000701652
33,82964.9811579,0.829649811579,0.170350188421,0.0626490959509,6.63719849263,42.6200458909
34,82496.7968221,0.824967968221,0.175032031779,0.0622955573257,6.59974374576,43.1280063214
35,82031.2545235,0.820312545235,0.179687454765,0.0619440137742,6.56250036188,43.6244351282
36,81568.3393528,0.815683393528,0.184316606472,0.0615944540377,6.52546714823,44.1097841953
37,81108.0364847,0.811080364847,0.188919635153,0.0612468669215,6.48864291877,44.5844765438
38,80650.3311775,0.806503311775,0.193496688225,0.0609012412935,6.4520264942,45.0489089165
39,80195.2087727,0.801952087727,0.198047912273,0.0605575660849,6.41561670182,45.5034540692
40,79742.6546947,0.797426546947,0.202573453053,0.0602158302892,6.37941237558,45.9484628088
41,79292.65445,0.7929265445,0.2070734555,0.0598760229619,6.343412356,46.3842658108
42,78845.1936269,0.788451936269,0.211548063731,0.0595381332203,6.30761549015,46.8111752467
43,78400.257895,0.78400257895,0.21599742105,0.0592021502433,6.2720206316,47.229486243
44,77957.833005,0.77957833005,0.22042166995,0.0588680632707,6.2366266404,47.6394781944
45,77517.9047876,0.775179047876,0.224820952124,0.058535861603,6.20143238301,48.0414159474
46,77080.4591538,0.770804591538,0.229195408462,0.0582055346011,6.1664367323,48.4355508713
47,76645.482094,0.76645482094,0.23354517906,0.0578770716861,6.13163856752,48.8221218274
48,76212.9596776,0.762129596776,0.237870403224,0.0575504623385,6.0970367742,49.20135605
49,75782.8780527,0.757828780527,0.242171219473,0.0572256960985,6.06263024421,49.5734699475
50,75355.2234455,0.753552234455,0.246447765545,0.056902762565,6.02841787564,49.9386698333
51,74929.98216,0.7492998216,0.2507001784,0.0565816513959,5.9943985728,50.297152593
52,74507.1405774,0.745071405774,0.254928594226,0.0562623523072,5.9605712462,50.6491062957
53,74086.6851559,0.740866851559,0.259133148441,0.0559448550731,5.92693481247,50.9947107534
54,73668.60243,0.7366860243,0.2633139757,0.0556291495254,5.8934881944,51.3341380362
55,73252.8790101,0.732528790101,0.267471209899,0.0553152255534,5.86023032081,51.6675529451
56,72839.5015823,0.728395015823,0.271604984177,0.0550030731034,5.82716012659,51.995113448
57,72428.4569079,0.724284569079,0.275715430921,0.0546926821783,5.79427655263,52.3169710824
58,72019.7318227,0.720197318227,0.279802681773,0.0543840428377,5.76157854582,52.633271327
59,71613.313237,0.71613313237,0.28386686763,0.054077145197,5.72906505896,52.9441539457
60,71209.1881347,0.712091881347,0.287908118653,0.0537719794277,5.69673505078,53.2497533071
61,70807.3435735,0.708073435735,0.291926564265,0.0534685357564,5.66458748588,53.5501986799
62,70407.7666839,0.704077666839,0.295922333161,0.053166804465,5.63262133471,53.8456145081
63,70010.444669,0.70010444669,0.29989555331,0.0528667758905,5.60083557352,54.136120667
64,69615.3648042,0.696153648042,0.303846351958,0.052568440424,5.56922918433,54.4218327014
