position_m,position_um,normalised_centre_line,column_density
-3.5e-05,-35,0,0
-3.42631578947e-05,-34.2631578947,0,0
-3.35263157895e-05,-33.5263157895,0,0
-3.27894736842e-05,-32.7894736842,0,0
-3.20526315789e-05,-32.0526315789,0,0
-3.13157894737e-05,-31.3157894737,0,0
-3.05789473684e-05,-30.5789473684,0,0
-2.98421052632e-05,-29.8421052632,0,0
-2.91052631579e-05,-29.1052631579,0,0
-2.83684210526e-05,-28.3684210526,0,0
-2.76315789474e-05,-27.6315789474,0,0
-2.68947368421e-05,-26.8947368421,0,0
-2.61578947368e-05,-26.1578947368,0,0
-2.54210526316e-05,-25.4210526316,0,0
-2.46842105263e-05,-24.6842105263,0,0
-2.39473684211e-05,-23.9473684211,0,0
-2.32105263158e-05,-23.2105263158,0,0
-2.24736842105e-05,-22.4736842105,0,0
-2.17368421053e-05,-21.7368421053,0,0
-2.1e-05,-21,0,0
-2.02631578947e-05,-20.2631578947,0,0
-1.95263157895e-05,-19.5263157895,0.0100168919787,2.00337839573e+12
-1.87894736842e-05,-18.7894736842,0.0400457430299,8.00914860599e+12
-1.80526315789e-05,-18.0526315789,0.079517899141,1.59035798282e+13
-1.73157894737e-05,-17.3157894737,0.125051942655,2.5010388531e+13
-1.65789473684e-05,-16.5789473684,0.174698617738,3.49397235475e+13
-1.58421052632e-05,-15.8421052632,0.227099884337,4.54199768673e+13
-1.51052631579e-05,-15.1052631579,0.2812208967,5.62441793399e+13
-1.43684210526e-05,-14.3684210526,0.336230910926,6.72461821853e+13
-1.36315789474e-05,-13.6315789474,0.391440338686,7.82880677373e+13
-1.28947368421e-05,-12.8947368421,0.446263595586,8.92527191172e+13
-1.21578947368e-05,-12.1578947368,0.50019541639,1.00039083278e+14
-1.14210526316e-05,-11.4210526316,0.552794869567,1.10558973913e+14
-1.06842105263e-05,-10.6842105263,0.603674085419,1.20734817084e+14
-9.94736842105e-06,-9.94736842105,0.652490029071,1.30498005814e+14
-9.21052631579e-06,-9.21052631579,0.698938327783,1.39787665557e+14
-8.47368421053e-06,-8.47368421053,0.742748535337,1.48549707067e+14
-7.73684210526e-06,-7.73684210526,0.783680433126,1.56736086625e+14
-7e-06,-7,0.821521099446,1.64304219889e+14
-6.26315789474e-06,-6.26315789474,0.856082561771,1.71216512354e+14
-5.52631578947e-06,-5.52631578947,0.887199901209,1.77439980242e+14
-4.78947368421e-06,-4.78947368421,0.914729714911,1.82945942982e+14
-4.05263157895e-06,-4.05263157895,0.938548867466,1.87709773493e+14
-3.31578947368e-06,-3.31578947368,0.958553480209,1.91710696042e+14
-2.57894736842e-06,-2.57894736842,0.974658120311,1.94931624062e+14
-1.84210526316e-06,-1.84210526316,0.986795161154,1.97359032231e+14
-1.10526315789e-06,-1.10526315789,0.994914292808,1.98982858562e+14
-3.68421052632e-07,-0.368421052632,0.998982167202,1.9979643344e+14
3.68421052632e-07,0.368421052632,0.998982167202,1.9979643344e+14
1.10526315789e-06,1.10526315789,0.994914292808,1.98982858562e+14
1.84210526316e-06,1.84210526316,0.986795161154,1.97359032231e+14
2.57894736842e-06,2.57894736842,0.974658120311,1.94931624062e+14
3.31578947368e-06,3.31578947368,0.958553480209,1.91710696042e+14
4.05263157895e-06,4.05263157895,0.938548867466,1.87709773493e+14
4.78947368421e-06,4.78947368421,0.914729714911,1.82945942982e+14
5.52631578947e-06,5.52631578947,0.887199901209,1.77439980242e+14
6.26315789474e-06,6.26315789474,0.856082561771,1.71216512354e+14
7e-06,7,0.821521099446,1.64304219889e+14
7.73684210526e-06,7.73684210526,0.783680433126,1.56736086625e+14
8.47368421053e-06,8.47368421053,0.742748535337,1.48549707067e+14
9.21052631579e-06,9.21052631579,0.698938327783,1.39787665557e+14
9.94736842105e-06,9.94736842105,0.652490029071,1.30498005814e+14
1.06842105263e-05,10.6842105263,0.603674085419,1.20734817084e+14
1.14210526316e-05,11.4210526316,0.552794869567,1.10558973913e+14
1.21578947368e-05,12.1578947368,0.50019541639,1.00039083278e+14
1.28947368421e-05,12.8947368421,0.446263595586,8.92527191172e+13
1.36315789474e-05,13.6315789474,0.391440338686,7.82880677373e+13
1.43684210526e-05,14.3684210526,0.336230910926,6.72461821853e+13
1.51052631579e-05,15.1052631579,0.2812208967,5.62441793399e+13
1.58421052632e-05,15.8421052632,0.227099884337,4.54199768673e+13
1.65789473684e-05,16.5789473684,0.174698617738,3.49397235475e+13
1.73157894737e-05,17.3157894737,0.125051942655,2.5010388531e+13
1.80526315789e-05,18.0526315789,0.079517899141,1.59035798282e+13
1.87894736842e-05,18.7894736842,0.0400457430299,8.00914860599e+12
1.95263157895e-05,19.5263157895,0.0100168919787,2.00337839573e+12
2.02631578947e-05,20.2631578947,0,0
2.1e-05,21,0,0
2.17368421053e-05,21.7368421053,0,0
2.24736842105e-05,22.4736842105,0,0
2.32105263158e-05,23.2105263158,0,0
2.39473684211e-05,23.9473684211,0,0
2.46842105263e-05,24.6842105263,0,0
2.54210526316e-05,25.4210526316,0,0
2.61578947368e-05,26.1578947368,0,0
2.68947368421e-05,26.8947368421,0,0
2.76315789474e-05,27.6315789474,0,0
2.83684210526e-05,28.3684210526,0,0
2.91052631579e-05,29.1052631579,0,0
2.98421052632e-05,29.8421052632,0,0
3.05789473684e-05,30.5789473684,0,0
3.13157894737e-05,31.3157894737,0,0
3.20526315789e-05,32.0526315789,0,0
3.27894736842e-05,32.7894736842,0,0
3.35263157895e-05,33.5263157895,0,0
3.42631578947e-05,34.2631578947,0,0
3.5e-05,35,0,0
