position_m,position_um,pci_intensity,dgi_intensity,faraday_dark_field,faraday_dual_port_signal
-3.5e-05,-35,0.902536493397,0.000100001184965,3.68903345443e-10,3.84137118783e-05
-3.42631578947e-05,-34.2631578947,0.902507516012,9.99996042683e-05,1.56482556406e-11,7.91157538881e-06
-3.35263157895e-05,-33.5263157895,0.902473751341,9.99989268554e-05,1.90859314488e-10,-2.76303701416e-05
-3.27894736842e-05,-32.7894736842,0.902463715367,9.99998776765e-05,3.64709432899e-10,-3.81947352599e-05
-3.20526315789e-05,-32.0526315789,0.902484685265,0.000100001286462,6.49703868177e-11,-1.61208410294e-05
-3.13157894737e-05,-31.3157894737,0.902513461595,0.000100001951823,5.01975607868e-11,1.4170046046e-05
-3.05789473684e-05,-30.5789473684,0.90251663718,0.000100000702032,7.66740161278e-11,1.75127395141e-05
-2.98421052632e-05,-29.8421052632,0.902486611366,9.99987874618e-05,4.96556404936e-11,-1.40933525828e-05
-2.91052631579e-05,-29.1052631579,0.902456694349,9.99989627379e-05,5.19508136289e-10,-4.55854457751e-05
-2.83684210526e-05,-28.3684210526,0.902470791157,0.000100000416537,2.36335260013e-10,-3.07463985301e-05
-2.76315789474e-05,-27.6315789474,0.902530586987,0.000100002112344,2.59154548818e-10,3.21965526513e-05
-2.68947368421e-05,-26.8947368421,0.902579313086,0.000100002864441,1.74246238701e-09,8.34856199698e-05
-2.61578947368e-05,-26.1578947368,0.902555191034,9.99992309649e-05,8.43755434196e-10,5.80949419089e-05
-2.54210526316e-05,-25.4210526316,0.902469961333,9.99970997546e-05,2.49954723433e-10,-3.16199179032e-05
-2.46842105263e-05,-24.6842105263,0.90241934345,0.000100000742547,1.80215228229e-09,-8.49035327121e-05
-2.39473684211e-05,-23.9473684211,0.90248533927,0.000100002860363,5.95398181778e-11,-1.54324076533e-05
-2.32105263158e-05,-23.2105263158,0.902614768748,0.000100007079225,3.64848420976e-09,0.000120805346429
-2.24736842105e-05,-22.4736842105,0.902626447748,0.000100003065463,4.42878475265e-09,0.000133098239165
-2.17368421053e-05,-21.7368421053,0.902410379316,9.9995975755e-05,2.22500440063e-09,-9.43399338818e-05
-2.1e-05,-21,0.902187551397,0.00010002467307,2.70473772263e-08,-0.0003289217669
-2.02631578947e-05,-20.2631578947,0.902584135018,0.00010001042969,1.96076767962e-09,8.85610752285e-05
-1.95263157895e-05,-19.5263157895,0.904384536469,0.000100980129486,9.82763037328e-07,0.00198268642453
-1.87894736842e-05,-18.7894736842,0.908097448571,0.000108554002216,8.65225594894e-06,0.00588292147085
-1.80526315789e-05,-18.0526315789,0.913655487683,0.000133896717331,3.42608528572e-05,0.0117063664603
-1.73157894737e-05,-17.3157894737,0.920487274087,0.000187855602885,8.87416599631e-05,0.0188397229423
-1.65789473684e-05,-16.5789473684,0.927905834275,0.000274596276174,0.000176323499812,0.026554992478
-1.58421052632e-05,-15.8421052632,0.935500815519,0.00039336562867,0.000296283926146,0.0344206598707
-1.51052631579e-05,-15.1052631579,0.943235919495,0.000545118181794,0.000449580337943,0.0423971210545
-1.43684210526e-05,-14.3684210526,0.951229014772,0.000734233147444,0.000640578315902,0.0506031889533
-1.36315789474e-05,-13.6315789474,0.959469322164,0.000963178114719,0.000871722784668,0.0590242086894
-1.28947368421e-05,-12.8947368421,0.967742953314,0.00122729841117,0.00113832736024,0.067439678151
-1.21578947368e-05,-12.1578947368,0.975798743423,0.00151697659223,0.00143073078706,0.0755956801862
-1.14210526316e-05,-11.4210526316,0.983544418551,0.00182537036957,0.00174203534725,0.0834026371117
-1.06842105263e-05,-10.6842105263,0.991058119665,0.00215223176768,0.00207193184633,0.0909428204092
-9.94736842105e-06,-9.94736842105,0.998418258946,0.00249863548831,0.00242143508435,0.0982971453204
-9.21052631579e-06,-9.21052631579,1.00555174057,0.00285887669804,0.00278478494071,0.105394957594
-8.47368421053e-06,-8.47368421053,1.01226814327,0.0032198232008,0.00314879717702,0.112051085204
-7.73684210526e-06,-7.73684210526,1.01843286332,0.00356947802064,0.00350142370891,0.118138081715
-7e-06,-7,1.02407733218,0.00390491607794,0.00383969001665,0.123692559803
-6.26315789474e-06,-6.26315789474,1.02931925918,0.00422949082549,0.00416690566033,0.128834307861
-5.52631578947e-06,-5.52631578947,1.03418389189,0.00454191321146,0.00448174668074,0.133591313407
-4.78947368421e-06,-4.78947368421,1.0385325451,0.00483023347874,0.00477223708797,0.137832076452
-4.05263157895e-06,-4.05263157895,1.04218652426,0.00507897678237,0.00502288081529,0.141387532258
-3.31578947368e-06,-3.31578947368,1.04511282776,0.00528238882333,0.00522790393629,0.144230172978
-2.57894736842e-06,-2.57894736842,1.04746015018,0.00544829310084,0.00539511187311,0.146506944139
-1.84210526316e-06,-1.84210526316,1.04939228082,0.00558677564436,0.00553457705481,0.148377751922
-1.10526315789e-06,-1.10526315789,1.0508911582,0.00569545116134,0.00564390755591,0.149826492973
-3.68421052632e-07,-0.368421052632,1.05174495782,0.00575784591861,0.00570662905529,0.150650668969
3.68421052632e-07,0.368421052632,1.05174495782,0.00575784591861,0.00570662905529,0.150650668969
1.10526315789e-06,1.10526315789,1.0508911582,0.00569545116134,0.00564390755591,0.149826492973
1.84210526316e-06,1.84210526316,1.04939228082,0.00558677564436,0.00553457705481,0.148377751922
2.57894736842e-06,2.57894736842,1.04746015018,0.00544829310084,0.00539511187311,0.146506944139
3.31578947368e-06,3.31578947368,1.04511282776,0.00528238882333,0.00522790393629,0.144230172978
4.05263157895e-06,4.05263157895,1.04218652426,0.00507897678237,0.00502288081529,0.141387532258
4.78947368421e-06,4.78947368421,1.0385325451,0.00483023347874,0.00477223708797,0.137832076452
5.52631578947e-06,5.52631578947,1.03418389189,0.00454191321146,0.00448174668074,0.133591313407
6.26315789474e-06,6.26315789474,1.02931925918,0.00422949082549,0.00416690566033,0.128834307861
7e-06,7,1.02407733218,0.00390491607794,0.00383969001665,0.123692559803
7.73684210526e-06,7.73684210526,1.01843286332,0.00356947802064,0.00350142370891,0.118138081715
8.47368421053e-06,8.47368421053,1.01226814327,0.0032198232008,0.00314879717702,0.112051085204
9.21052631579e-06,9.21052631579,1.00555174057,0.00285887669804,0.00278478494071,0.105394957594
9.94736842105e-06,9.94736842105,0.998418258946,0.00249863548831,0.00242143508435,0.0982971453204
1.06842105263e-05,10.6842105263,0.991058119665,0.00215223176768,0.00207193184633,0.0909428204092
1.14210526316e-05,11.4210526316,0.983544418551,0.00182537036957,0.00174203534725,0.0834026371117
1.21578947368e-05,12.1578947368,0.975798743423,0.00151697659223,0.00143073078706,0.0755956801862
1.28947368421e-05,12.8947368421,0.967742953314,0.00122729841117,0.00113832736024,0.067439678151
1.36315789474e-05,13.6315789474,0.959469322164,0.000963178114719,0.000871722784668,0.0590242086894
1.43684210526e-05,14.3684210526,0.951229014772,0.000734233147444,0.000640578315902,0.0506031889533
1.51052631579e-05,15.1052631579,0.943235919495,0.000545118181794,0.000449580337943,0.0423971210545
1.58421052632e-05,15.8421052632,0.935500815519,0.00039336562867,0.000296283926146,0.0344206598707
