position_m,position_um,x_centre_line_normalised,y_centre_line_normalised
-3.5e-05,-35,0,0
-3.42631578947e-05,-34.2631578947,0,0
-3.35263157895e-05,-33.5263157895,0,0
-3.27894736842e-05,-32.7894736842,0,0
-3.20526315789e-05,-32.0526315789,0,0
-3.13157894737e-05,-31.3157894737,0,0
-3.05789473684e-05,-30.5789473684,0,0
-2.98421052632e-05,-29.8421052632,0,0
-2.91052631579e-05,-29.1052631579,0,0
-2.83684210526e-05,-28.3684210526,0,0
-2.76315789474e-05,-27.6315789474,0,0
-2.68947368421e-05,-26.8947368421,0,0
-2.61578947368e-05,-26.1578947368,0,0
-2.54210526316e-05,-25.4210526316,0,0
-2.46842105263e-05,-24.6842105263,0,0
-2.39473684211e-05,-23.9473684211,0,0
-2.32105263158e-05,-23.2105263158,0,0
-2.24736842105e-05,-22.4736842105,0,0
-2.17368421053e-05,-21.7368421053,0,0
-2.1e-05,-21,0,0
-2.02631578947e-05,-20.2631578947,0,0
-1.95263157895e-05,-19.5263157895,0.0100168919787,0.0100168919787
-1.87894736842e-05,-18.7894736842,0.0400457430299,0.0400457430299
-1.80526315789e-05,-18.0526315789,0.079517899141,0.079517899141
-1.73157894737e-05,-17.3157894737,0.125051942655,0.125051942655
-1.65789473684e-05,-16.5789473684,0.174698617738,0.174698617738
-1.58421052632e-05,-15.8421052632,0.227099884337,0.227099884337
-1.51052631579e-05,-15.1052631579,0.2812208967,0.2812208967
-1.43684210526e-05,-14.3684210526,0.336230910926,0.336230910926
-1.36315789474e-05,-13.6315789474,0.391440338686,0.391440338686
-1.28947368421e-05,-12.8947368421,0.446263595586,0.446263595586
-1.21578947368e-05,-12.1578947368,0.50019541639,0.50019541639
-1.14210526316e-05,-11.4210526316,0.552794869567,0.552794869567
-1.06842105263e-05,-10.6842105263,0.603674085419,0.603674085419
-9.94736842105e-06,-9.94736842105,0.652490029071,0.652490029071
-9.21052631579e-06,-9.21052631579,0.698938327783,0.698938327783
-8.47368421053e-06,-8.47368421053,0.742748535337,0.742748535337
-7.73684210526e-06,-7.73684210526,0.783680433126,0.783680433126
-7e-06,-7,0.821521099446,0.821521099446
-6.26315789474e-06,-6.26315789474,0.856082561771,0.856082561771
-5.52631578947e-06,-5.52631578947,0.887199901209,0.887199901209
-4.78947368421e-06,-4.78947368421,0.914729714911,0.914729714911
-4.05263157895e-06,-4.05263157895,0.938548867466,0.938548867466
-3.31578947368e-06,-3.31578947368,0.958553480209,0.958553480209
-2.57894736842e-06,-2.57894736842,0.974658120311,0.974658120311
-1.84210526316e-06,-1.84210526316,0.986795161154,0.986795161154
-1.10526315789e-06,-1.10526315789,0.994914292808,0.994914292808
-3.68421052632e-07,-0.368421052632,0.998982167202,0.998982167202
3.68421052632e-07,0.368421052632,0.998982167202,0.998982167202
1.10526315789e-06,1.10526315789,0.994914292808,0.994914292808
1.84210526316e-06,1.84210526316,0.986795161154,0.986795161154
2.57894736842e-06,2.57894736842,0.974658120311,0.974658120311
3.31578947368e-06,3.31578947368,0.958553480209,0.958553480209
4.05263157895e-06,4.05263157895,0.938548867466,0.938548867466
4.78947368421e-06,4.78947368421,0.914729714911,0.914729714911
5.52631578947e-06,5.52631578947,0.887199901209,0.887199901209
6.26315789474e-06,6.26315789474,0.856082561771,0.856082561771
7e-06,7,0.821521099446,0.821521099446
7.73684210526e-06,7.73684210526,0.783680433126,0.783680433126
8.47368421053e-06,8.47368421053,0.742748535337,0.742748535337
9.21052631579e-06,9.21052631579,0.698938327783,0.698938327783
9.94736842105e-06,9.94736842105,0.652490029071,0.652490029071
1.06842105263e-05,10.6842105263,0.603674085419,0.603674085419
1.14210526316e-05,11.4210526316,0.552794869567,0.552794869567
1.21578947368e-05,12.1578947368,0.50019541639,0.50019541639
1.28947368421e-05,12.8947368421,0.446263595586,0.446263595586
1.36315789474e-05,13.6315789474,0.391440338686,0.391440338686
1.43684210526e-05,14.3684210526,0.336230910926,0.336230910926
1.51052631579e-05,15.1052631579,0.2812208967,0.2812208967
1.58421052632e-05,15.8421052632,0.227099884337,0.227099884337
1.65789473684e-05,16.5789473684,0.174698617738,0.174698617738
1.73157894737e-05,17.3157894737,0.125051942655,0.125051942655
1.80526315789e-05,18.0526315789,0.079517899141,0.079517899141
1.87894736842e-05,18.7894736842,0.0400457430299,0.0400457430299
1.95263157895e-05,19.5263157895,0.0100168919787,0.0100168919787
2.02631578947e-05,20.2631578947,0,0
2.1e-05,21,0,0
2.17368421053e-05,21.7368421053,0,0
2.24736842105e-05,22.4736842105,0,0
2.32105263158e-05,23.2105263158,0,0
2.39473684211e-05,23.9473684211,0,0
2.46842105263e-05,24.6842105263,0,0
2.54210526316e-05,25.4210526316,0,0
2.61578947368e-05,26.1578947368,0,0
2.68947368421e-05,26.8947368421,0,0
2.76315789474e-05,27.6315789474,0,0
2.83684210526e-05,28.3684210526,0,0
2.91052631579e-05,29.1052631579,0,0
2.98421052632e-05,29.8421052632,0,0
3.05789473684e-05,30.5789473684,0,0
3.13157894737e-05,31.3157894737,0,0
3.20526315789e-05,32.0526315789,0,0
3.27894736842e-05,32.7894736842,0,0
3.35263157895e-05,33.5263157895,0,0
3.42631578947e-05,34.2631578947,0,0
3.5e-05,35,0,0
