detuning_hz,detuning_ghz,signal_scale,scattered_photons_per_atom,reabsorption_fraction,destructiveness_metric,signal_per_scattered_photon
750000000,0.75,0.150981603671,0.0226298877234,0.00444332168422,0.0227304395942,6.67177873423
1000000000,1,0.113255359881,0.0127314993648,0.00250240603406,0.0127633587456,8.8956812262
1250000000,1.25,0.090611383271,0.00814880776243,0.00160244093391,0.00816186574555,11.1195877867
1500000000,1.5,0.0755126983416,0.00565913881766,0.00111314634567,0.00566543826736,13.3434963825
1750000000,1.75,0.0647268303246,0.0041578429788,0.000817972544525,0.0041612439802,15.5674061417
2000000000,2,0.0566369194826,0.00318340236791,0.000626335152721,0.00318539624472,17.7913166282
2500000000,2.5,0.0453104227442,0.00203741803703,0.000400910899515,0.00203823486013,22.2391389104
3000000000,3,0.0377590872265,0.00141488892321,0.000278431626889,0.00141528287304,26.686962211
