detuning_ghz,fluence_mw_us,mode,central_block_snr,phase_peak_rad,photoelectrons_per_incident_I0_pixel,read_noise_e_per_pixel_per_port,kappa_F
1.5,79,Faraday dark-field,5.63844624656,0.202941652879,907.901769324,3,1
1.5,80,Faraday dark-field,5.69325823193,0.202941652879,919.394196784,3,1
1.5,81,Faraday dark-field,5.74780125683,0.202941652879,930.886624244,3,1
1.5,82,Faraday dark-field,5.80207858861,0.202941652879,942.379051704,3,1
1.5,83,Faraday dark-field,5.85609343444,0.202941652879,953.871479163,3,1
1.5,84,Faraday dark-field,5.90984894278,0.202941652879,965.363906623,3,1
1.5,85,Faraday dark-field,5.96334820482,0.202941652879,976.856334083,3,1
1.5,86,Faraday dark-field,6.01659425583,0.202941652879,988.348761543,3,1
1.5,87,Faraday dark-field,6.06959007651,0.202941652879,999.841189003,3,1
1.5,88,Faraday dark-field,6.12233859429,0.202941652879,1011.33361646,3,1
1.5,89,Faraday dark-field,6.17484268457,0.202941652879,1022.82604392,3,1
1.5,90,Faraday dark-field,6.22710517196,0.202941652879,1034.31847138,3,1
1.5,91,Faraday dark-field,6.27912883148,0.202941652879,1045.81089884,3,1
1.5,92,Faraday dark-field,6.33091638967,0.202941652879,1057.3033263,3,1
1.5,93,Faraday dark-field,6.38247052575,0.202941652879,1068.79575376,3,1
1.5,94,Faraday dark-field,6.43379387269,0.202941652879,1080.28818122,3,1
1.5,95,Faraday dark-field,6.48488901826,0.202941652879,1091.78060868,3,1
1.5,96,Faraday dark-field,6.53575850606,0.202941652879,1103.27303614,3,1
1.5,97,Faraday dark-field,6.58640483654,0.202941652879,1114.7654636,3,1
1.5,98,Faraday dark-field,6.63683046793,0.202941652879,1126.25789106,3,1
1.5,99,Faraday dark-field,6.68703781723,0.202941652879,1137.75031852,3,1
1.5,100,Faraday dark-field,6.73702926109,0.202941652879,1149.24274598,3,1
1.5,101,Faraday dark-field,6.7868071367,0.202941652879,1160.73517344,3,1
1.5,102,Faraday dark-field,6.83637374269,0.202941652879,1172.2276009,3,1
1.5,103,Faraday dark-field,6.88573133994,0.202941652879,1183.72002836,3,1
1.5,104,Faraday dark-field,6.93488215243,0.202941652879,1195.21245582,3,1
1.5,105,Faraday dark-field,6.98382836801,0.202941652879,1206.70488328,3,1
1.5,106,Faraday dark-field,7.03257213921,0.202941652879,1218.19731074,3,1
1.5,107,Faraday dark-field,7.08111558395,0.202941652879,1229.6897382,3,1
1.5,108,Faraday dark-field,7.12946078634,0.202941652879,1241.18216566,3,1
