quantity,units,is_noisy,shape_rows,shape_cols,min,max,mean,sum,centre_value,peak_row,peak_col
dark_field_noiseless_binned,I_dark/I0,False,68,68,3.1499791004100475e-12,0.013306633660652338,8.523274026944363e-05,0.39411619100590733,0.013306633660652338,34,34
dark_field_noisy,I_dark/I0,True,68,68,-0.006341162650794738,0.01908564855048136,6.620543242516266e-05,0.30613391953395214,0.01617456315961192,34,33
dual_port_u_noiseless_binned,I/I0,False,68,68,0.3837272514592539,0.5212102807738443,0.4990375241339173,2307.5495115952335,0.3837272514592539,31,34
dual_port_u_noisy,I/I0,True,68,68,0.37516017573075,0.5416134584883491,0.4993796802061668,2309.1316412733154,0.3827659108615281,57,28
dual_port_v_noiseless_binned,I/I0,False,68,68,0.4825353706491475,0.6110672967116934,0.500927360454027,2316.288114739421,0.6110672967116934,34,34
dual_port_v_noisy,I/I0,True,68,68,0.45674326988502245,0.6227654149839985,0.5010593520264673,2316.898443770385,0.6227654149839985,34,34
dual_port_signal_noiseless,S,False,68,68,-0.03853058797302699,0.22852964531262482,0.001898742890941979,8.77978712771571,0.22852964531262482,34,34
dual_port_signal_noisy,S,True,68,68,-0.06343382680929806,0.23867929119031744,0.0016842858266908226,7.788137662618364,0.23867929119031744,34,34
