position_um,dark_field_noiseless_binned_i0,dark_field_noisy_i0,dual_port_signal_noiseless,dual_port_signal_noisy,I_V_noiseless_binned_i0,I_H_noiseless_binned_i0,I_V_noisy_i0,I_H_noisy_i0
-49.31640625,2.59087792806e-10,-0.00026866813753,2.94498078171e-05,-0.0148702424003,0.499985627729,0.500015077558,0.511149891688,0.496170788992
-47.8515625,2.47367700841e-10,0.000771278985662,2.99837309941e-05,0.00496310181193,0.499985148414,0.500015132154,0.505510273114,0.510553099078
-46.38671875,3.40374674948e-11,5.50689047679e-05,4.99287064029e-06,0.0114032276104,0.499997411878,0.500002404747,0.496305883836,0.507755423458
-44.921875,1.31250475496e-10,-0.00194752632907,-2.18175826199e-05,-0.00805067962282,0.500010697075,0.499988879502,0.512762865374,0.504572623286
-43.45703125,1.75619398796e-10,0.00171672030869,-2.39727224835e-05,0.0094515428616,0.500011727357,0.499987754647,0.475459447943,0.484532856354
-41.9921875,2.98714090607e-10,-0.00233364458159,-3.10731485677e-05,0.00649768922668,0.500015286453,0.49998421332,0.50383894353,0.510429343652
-40.52734375,5.3953655988e-10,0.00101716477037,-4.43527224992e-05,-0.00571070952166,0.500022038381,0.49997768567,0.505515161794,0.499774246
-39.0625,1.97823397218e-10,0.0027294344239,-2.4406645183e-05,-0.0230911494346,0.50001222914,0.499987822494,0.518629985604,0.495219046108
-37.59765625,3.03356082923e-11,-0.00381986113699,8.23899072786e-06,0.0265779860613,0.499996058846,0.50000429784,0.488134639705,0.514790366542
-36.1328125,1.99296840797e-10,0.000310440415225,2.38625396688e-05,0.015089444989,0.499988451509,0.500012314067,0.495125749266,0.510297020847
-34.66796875,1.12902088741e-09,0.000410106910288,6.05549864716e-05,-0.0060851767461,0.499970255338,0.500030810389,0.502930749539,0.496846925679
-33.203125,2.38751587929e-09,0.000251953191523,9.40463552054e-05,0.0318703686594,0.499953265546,0.500047311956,0.483195163105,0.515008274664
-31.73828125,6.15055395993e-10,-0.00153522082983,3.76397341332e-05,-0.00651861158993,0.499980908496,0.50001854821,0.490692373532,0.484336538764
-30.2734375,2.68056085321e-10,-0.000717518207821,-3.12726418391e-05,0.00353086239023,0.500014968016,0.499983695416,0.497832217895,0.501360228926
