detuning_hz,detuning_ghz,dimensionless_delta,scalar_phase_rad,abs_scalar_phase_rad,faraday_rotation_rad,residual_optical_depth,scattered_photons_per_atom,reabsorption_fraction,destructiveness_metric,signal_per_scattered_photon,signal_to_destruction,two_level_dispersive_response_abs,two_level_absorptive_response,normalised_abs_scalar_phase,normalised_scattered_photons_per_atom,normalised_residual_optical_depth,normalised_signal_per_scattered_photon,normalised_signal_to_destruction
500000000,0.5,33.8983050847,0.608354408205,0.608354408205,-0.300834597464,0.0358929100841,0.178731095544,0.202527541741,0.214929064957,3.40374128158,2.83048925154,0.029474349947,0.000869493323435,1,1,1,0.100000636416,0.0833888070968
506473347.965,0.506473347965,34.3371761332,0.600592159536,0.600592159536,-0.296996122848,0.0349820356343,0.174195365007,0.1988424988,0.208832806665,3.44780792251,2.87594736252,0.0290982743723,0.000847427705163,0.987240581207,0.974622599818,0.97462244082,0.101295297723,0.0847280447023
513030504.397,0.513030504397,34.7817291117,0.592928620337,0.592928620337,-0.293206460606,0.0340942578463,0.169774643666,0.195194187629,0.202913667316,3.492445088,2.92207335356,0.0287269812032,0.000825921595529,0.974643418934,0.949888675774,0.949888369776,0.102606720827,0.0860869586661
519672554.34,0.51967255434,35.2320375824,0.585362547931,0.585362547931,-0.28946499623,0.0332289920254,0.165466020119,0.191583520991,0.197166582858,3.53766016437,2.96887301817,0.0283604102327,0.000804960830505,0.962206470498,0.92578193859,0.925781496889,0.103935122735,0.087465719671
526400596.884,0.526400596884,35.6881760599,0.577892714811,0.577892714811,-0.285771122709,0.0323856682303,0.161266656426,0.188011353279,0.19158661874,3.58346063357,3.01635217852,0.027998501989,0.000784531603464,0.949927718147,0.902286509997,0.902285943225,0.105280723264,0.0888644992429
533215745.349,0.533215745349,36.1502200236,0.570517908469,0.570517908469,-0.282124240452,0.0315637309038,0.157173786266,0.184478480912,0.186168967596,3.62985407442,3.0645166906,0.0276411977269,0.000764620456219,0.937805168787,0.879386912432,0.87938623059,0.106643745076,0.0902834699049
540119127.468,0.540119127468,36.6182459301,0.563236931233,0.563236931233,-0.278523757203,0.0307626385114,0.153184713139,0.180985642876,0.180908946925,3.67684816384,3.11337244955,0.02728843942,0.000745214270289,0.925836853709,0.857068058989,0.857067271482,0.108024413718,0.0917228053329
547111885.577,0.547111885577,37.0923312256,0.5560486001,0.5560486001,-0.274969087962,0.0299818631899,0.149296808616,0.177533521403,0.175801996784,3.72445067818,3.16292539489,0.0269401697527,0.000726300258372,0.914020828321,0.835315243617,0.835314359289,0.109422957654,0.0931826805109
554195176.799,0.554195176799,37.5725543593,0.548951746576,0.548951746576,-0.2714596549,0.0292208904046,0.145507510633,0.17412274278,0.17084367748,3.77266949443,3.21318151584,0.0265963321122,0.000707865956036,0.902355171873,0.814114131568,0.81411315873,0.110839608308,0.0946632718869
561370173.239,0.561370173239,38.0589947958,0.541945216509,0.541945216509,-0.267994887284,0.0284792186139,0.141814321822,0.170753878259,0.166029667265,3.82151259159,3.26414685661,0.0262568705807,0.000689899213617,0.890837987198,0.793450750078,0.793449696533,0.112274600099,0.0961647575286
568638062.175,0.568638062175,38.5517330288,0.535027869931,0.535027869931,-0.264574221394,0.027756358944,0.138214807887,0.167427445089,0.161355760045,3.87098805194,3.31582752164,0.0259217299275,0.000672388188312,0.879467400441,0.77331147927,0.77331035235,0.113728170484,0.0976873172784
576000046.26,0.57600004626,39.0508505939,0.528198580899,0.528198580899,-0.261197100445,0.02705183487,0.134706596022,0.16414390762,0.156817863076,3.92110406243,3.36822968085,0.0255908556015,0.00065532133647,0.868241560799,0.753683043302,0.753681849886,0.115200559989,0.099231132908
583457343.714,0.583457343714,39.5564300823,0.521456237334,0.521456237334,-0.257862974506,0.0263651819059,0.131287373367,0.160903678505,0.152411994683,3.97186891597,3.42135957488,0.0252641937231,0.000638687406081,0.857158640261,0.734552501718,0.734551248258,0.116692012259,0.100796388272
591011188.531,0.591011188531,40.0685551546,0.514799740863,0.514799740863,-0.254571300427,0.0256959473021,0.127954885495,0.157707119967,0.148134281972,4.02329101286,3.47522352024,0.024941691077,0.000622475429443,0.846216833346,0.715907241018,0.715905933566,0.118202774092,0.102383269461
598662830.68,0.59866283068,40.5873105546,0.508228006668,0.508228006668,-0.251321541759,0.0250436897505,0.124706934952,0.154554545126,0.143980958558,4.07537886215,3.52982791446,0.0246232951045,0.000606674716016,0.835414356851,0.697734966446,0.697733610672,0.119733095479,0.103991964952
606413536.313,0.606413536313,41.1127821229,0.501739963324,0.501739963324,-0.248113168677,0.0244079790963,0.121541379819,0.15144621939,0.139948362292,4.12814108306,3.58517924115,0.0243089538958,0.000591274845452,0.824749449592,0.680023693971,0.680022295187,0.121283229649,0.105622665758
614264587.975,0.614264587975,41.6450568118,0.495334552651,0.495334552651,-0.244945657904,0.0237883960581,0.118456132317,0.148382361881,0.136032933009,4.18158640639,3.64128407506,0.0239986161828,0.000576265660802,0.814220372154,0.662761742474,0.662760305652,0.122853433112,0.107275565577
622217284.815,0.622217284815,42.1842226993,0.489010729558,0.489010729558,-0.241818492639,0.0231845319537,0.115449157444,0.145363146905,0.132231210277,4.23572367599,3.69814908698,0.0236922313316,0.000561637261886,0.803825406642,0.645937726127,0.645936255918,0.124443965696,0.108950860937
630272942.804,0.630272942804,42.7303690036,0.482767461897,0.482767461897,-0.238731162477,0.0225959884342,0.112518471648,0.142388705454,0.128539831166,4.2905618502,3.75578104871,0.0233897493353,0.000547379998832,0.79356285643,0.629540546965,0.629539047718,0.126055090592,0.110648751341
638432894.947,0.638432894947,43.2835860981,0.476603730307,0.476603730307,-0.235683163339,0.022022377223,0.109662141534,0.139459126725,0.124955528027,4.34611000334,3.81418683778,0.0230911208066,0.000533484465781,0.783431045915,0.613559387637,0.613557863415,0.127687074403,0.112369439408
646698491.509,0.646698491509,43.843965526,0.470518528071,0.470518528071,-0.232673997398,0.0214633198629,0.106878282595,0.136574459663,0.12147512629,4.40237732723,3.87337344228,0.0227962969707,0.000519941494735,0.773428320277,0.597983704347,0.597982158944,0.129340187178,0.114113131013
655071100.236,0.655071100236,44.411600016,0.464510860966,0.464510860966,-0.229703173005,0.0209184474686,0.10416505799,0.133734714507,0.118095542282,4.45937313267,3.93334796546,0.0225052296582,0.000506742149576,0.763553045232,0.582803219962,0.582801656917,0.131014702468,0.115880035424
