position_m,position_um,column_density_y_line_cm2,column_density_z_line_cm2
-3.69140625e-05,-36.9140625,0,0
-3.681640625e-05,-36.81640625,0,0
-3.671875e-05,-36.71875,0,0
-3.662109375e-05,-36.62109375,0,0
-3.65234375e-05,-36.5234375,0,0
-3.642578125e-05,-36.42578125,0,0
-3.6328125e-05,-36.328125,0,0
-3.623046875e-05,-36.23046875,0,0
-3.61328125e-05,-36.1328125,0,0
-3.603515625e-05,-36.03515625,0,0
-3.59375e-05,-35.9375,0,0
-3.583984375e-05,-35.83984375,0,0
-3.57421875e-05,-35.7421875,0,0
-3.564453125e-05,-35.64453125,0,0
-3.5546875e-05,-35.546875,0,0
-3.544921875e-05,-35.44921875,0,0
-3.53515625e-05,-35.3515625,0,0
-3.525390625e-05,-35.25390625,0,0
-3.515625e-05,-35.15625,0,0
-3.505859375e-05,-35.05859375,0,0
-3.49609375e-05,-34.9609375,0,0
-3.486328125e-05,-34.86328125,0,0
-3.4765625e-05,-34.765625,0,0
-3.466796875e-05,-34.66796875,0,0
-3.45703125e-05,-34.5703125,0,0
-3.447265625e-05,-34.47265625,0,0
-3.4375e-05,-34.375,0,0
-3.427734375e-05,-34.27734375,0,0
-3.41796875e-05,-34.1796875,0,0
-3.408203125e-05,-34.08203125,0,0
-3.3984375e-05,-33.984375,0,0
-3.388671875e-05,-33.88671875,0,0
-3.37890625e-05,-33.7890625,0,0
-3.369140625e-05,-33.69140625,0,0
-3.359375e-05,-33.59375,0,0
-3.349609375e-05,-33.49609375,0,0
-3.33984375e-05,-33.3984375,0,0
-3.330078125e-05,-33.30078125,0,0
-3.3203125e-05,-33.203125,0,0
-3.310546875e-05,-33.10546875,0,0
-3.30078125e-05,-33.0078125,0,0
-3.291015625e-05,-32.91015625,0,0
-3.28125e-05,-32.8125,0,0
-3.271484375e-05,-32.71484375,0,0
-3.26171875e-05,-32.6171875,0,0
-3.251953125e-05,-32.51953125,0,0
-3.2421875e-05,-32.421875,0,0
-3.232421875e-05,-32.32421875,0,0
-3.22265625e-05,-32.2265625,0,0
-3.212890625e-05,-32.12890625,0,0
-3.203125e-05,-32.03125,0,0
-3.193359375e-05,-31.93359375,0,0
-3.18359375e-05,-31.8359375,0,0
-3.173828125e-05,-31.73828125,0,0
-3.1640625e-05,-31.640625,0,0
-3.154296875e-05,-31.54296875,0,0
-3.14453125e-05,-31.4453125,0,0
-3.134765625e-05,-31.34765625,0,0
-3.125e-05,-31.25,0,0
-3.115234375e-05,-31.15234375,0,0
-3.10546875e-05,-31.0546875,0,0
-3.095703125e-05,-30.95703125,0,0
-3.0859375e-05,-30.859375,0,0
-3.076171875e-05,-30.76171875,0,0
-3.06640625e-05,-30.6640625,0,0
-3.056640625e-05,-30.56640625,0,0
-3.046875e-05,-30.46875,0,0
-3.037109375e-05,-30.37109375,0,0
-3.02734375e-05,-30.2734375,0,0
-3.017578125e-05,-30.17578125,0,0
-3.0078125e-05,-30.078125,0,0
-2.998046875e-05,-29.98046875,0,0
-2.98828125e-05,-29.8828125,0,0
-2.978515625e-05,-29.78515625,0,0
-2.96875e-05,-29.6875,0,0
-2.958984375e-05,-29.58984375,0,0
-2.94921875e-05,-29.4921875,0,0
-2.939453125e-05,-29.39453125,0,0
-2.9296875e-05,-29.296875,0,0
-2.919921875e-05,-29.19921875,0,0
-2.91015625e-05,-29.1015625,0,0
-2.900390625e-05,-29.00390625,0,0
-2.890625e-05,-28.90625,0,0
-2.880859375e-05,-28.80859375,0,0
-2.87109375e-05,-28.7109375,0,0
-2.861328125e-05,-28.61328125,0,0
-2.8515625e-05,-28.515625,0,0
-2.841796875e-05,-28.41796875,0,0
-2.83203125e-05,-28.3203125,0,0
-2.822265625e-05,-28.22265625,0,0
-2.8125e-05,-28.125,0,0
-2.802734375e-05,-28.02734375,0,0
-2.79296875e-05,-27.9296875,0,0
-2.783203125e-05,-27.83203125,0,0
-2.7734375e-05,-27.734375,0,0
-2.763671875e-05,-27.63671875,0,0
-2.75390625e-05,-27.5390625,0,0
-2.744140625e-05,-27.44140625,0,0
-2.734375e-05,-27.34375,0,0
-2.724609375e-05,-27.24609375,0,0
-2.71484375e-05,-27.1484375,0,0
-2.705078125e-05,-27.05078125,0,0
-2.6953125e-05,-26.953125,0,0
-2.685546875e-05,-26.85546875,0,0
-2.67578125e-05,-26.7578125,0,0
-2.666015625e-05,-26.66015625,0,0
-2.65625e-05,-26.5625,0,0
-2.646484375e-05,-26.46484375,0,0
-2.63671875e-05,-26.3671875,0,0
-2.626953125e-05,-26.26953125,0,0
-2.6171875e-05,-26.171875,0,0
-2.607421875e-05,-26.07421875,0,0
-2.59765625e-05,-25.9765625,0,0
-2.587890625e-05,-25.87890625,0,0
-2.578125e-05,-25.78125,0,0
-2.568359375e-05,-25.68359375,0,0
-2.55859375e-05,-25.5859375,0,0
-2.548828125e-05,-25.48828125,0,0
-2.5390625e-05,-25.390625,0,0
-2.529296875e-05,-25.29296875,0,0
-2.51953125e-05,-25.1953125,0,0
-2.509765625e-05,-25.09765625,0,0
-2.5e-05,-25,0,0
-2.490234375e-05,-24.90234375,0,0
-2.48046875e-05,-24.8046875,1698688.18093,0
-2.470703125e-05,-24.70703125,44759076.3263,0
-2.4609375e-05,-24.609375,115705206.041,0
-2.451171875e-05,-24.51171875,205637499.781,0
-2.44140625e-05,-24.4140625,310863564.195,0
-2.431640625e-05,-24.31640625,429159487.376,0
-2.421875e-05,-24.21875,558983382.964,0
-2.412109375e-05,-24.12109375,699178608.967,0
-2.40234375e-05,-24.0234375,848832133.802,0
-2.392578125e-05,-23.92578125,1007196926.35,0
-2.3828125e-05,-23.828125,1173645286.57,0
-2.373046875e-05,-23.73046875,1347638826.12,0
-2.36328125e-05,-23.6328125,1528708142.58,0
-2.353515625e-05,-23.53515625,1716438489.01,0
-2.34375e-05,-23.4375,1910459333.77,0
-2.333984375e-05,-23.33984375,2110436545.47,0
-2.32421875e-05,-23.2421875,2316066407.88,0
-2.314453125e-05,-23.14453125,2527070946.08,0
-2.3046875e-05,-23.046875,2743194214.68,0
-2.294921875e-05,-22.94921875,2964199306.3,0
-2.28515625e-05,-22.8515625,3189865909.3,0
-2.275390625e-05,-22.75390625,3419988290.71,0
-2.265625e-05,-22.65625,3654373613.36,0
-2.255859375e-05,-22.55859375,3892840518.52,0
-2.24609375e-05,-22.4609375,4135217922.52,0
-2.236328125e-05,-22.36328125,4381343986.95,0
-2.2265625e-05,-22.265625,4631065231.48,0
-2.216796875e-05,-22.16796875,4884235764.65,0
-2.20703125e-05,-22.0703125,5140716613,0
-2.197265625e-05,-21.97265625,5400375132.87,0
-2.1875e-05,-21.875,5663084492.09,0
-2.177734375e-05,-21.77734375,5928723211.12,0
-2.16796875e-05,-21.6796875,6197174755.11,0
-2.158203125e-05,-21.58203125,6468327169.76,0
-2.1484375e-05,-21.484375,6742072755.02,0
-2.138671875e-05,-21.38671875,7018307771.73,0
-2.12890625e-05,-21.2890625,7296932176.93,0
