position_um,camera_y_line_normalised_i0,camera_z_line_normalised_i0,binned_y_line_normalised_i0,binned_z_line_normalised_i0,deterministic_counts_y_line_electrons,deterministic_counts_z_line_electrons
-49.31640625,0.902527977585,0.899609569719,0.902527977585,0.899609569719,1382.96497504,1378.49302962
-47.8515625,0.902528484795,0.906301984896,0.902528484795,0.906301984896,1382.96575225,1388.74797575
-46.38671875,0.90250474326,0.903701728799,0.90250474326,0.903701728799,1382.92937254,1384.7635418
-44.921875,0.902479273432,0.898121898913,0.902479273432,0.898121898913,1382.89034452,1376.21343644
-43.45703125,0.902477226094,0.903272701942,0.902477226094,0.903272701942,1382.88720733,1384.1061338
-41.9921875,0.902470480814,0.906634851648,0.902470480814,0.906634851648,1382.87687138,1389.25803535
-40.52734375,0.902457865458,0.899826603728,0.902457865458,0.899826603728,1382.85754057,1378.82559597
-39.0625,0.902476813884,0.899451288068,0.902476813884,0.899451288068,1382.88657569,1378.2504909
-37.59765625,0.902507827073,0.906669513076,0.902507827073,0.906669513076,1382.93409794,1389.31114787
-36.1328125,0.902522669618,0.903789306259,0.902522669618,0.903789306259,1382.95684152,1384.89773882
-34.66796875,0.902557528393,0.897567351266,0.902557528393,0.897567351266,1383.01025645,1375.36368996
-33.203125,0.902589346449,0.903410283719,0.902589346449,0.903410283719,1383.05901201,1384.31695361
-31.73828125,0.90253575835,0.907311858896,0.90253575835,0.907311858896,1382.97689769,1390.29542957
-30.2734375,0.902470291278,0.899332451708,0.902470291278,0.899332451708,1382.87658095,1378.06839513
-28.80859375,0.902478091221,0.898834903933,0.902478091221,0.898834903933,1382.88853299,1377.3059909
-27.34375,0.902348445345,0.907614428157,0.902348445345,0.907614428157,1382.68987355,1390.75906361
-25.87890625,0.90215772639,0.904091733064,0.90215772639,0.904091733064,1382.39763038,1385.36115457
-24.4140625,0.903279563101,0.896195437155,0.903279563101,0.896195437155,1384.11664731,1373.26147351
-22.94921875,0.907932245326,0.90373726813,0.907932245326,0.90373726813,1391.24606238,1384.81799956
-21.484375,0.91736399496,0.90894546646,0.91736399496,0.90894546646,1405.69855551,1392.79864509
-20.01953125,0.931059632261,0.898046673936,0.931059632261,0.898046673936,1426.6847046,1376.09816743
-18.5546875,0.947778338707,0.897344654046,0.947778338707,0.897344654046,1452.30317408,1375.02244574
-17.08984375,0.966605434963,0.910171001767,0.966605434963,0.910171001767,1481.15237914,1394.67656184
-15.625,0.986861304035,0.90481337847,0.986861304035,0.90481337847,1512.1909266,1386.4669489
-14.16015625,1.00777149566,0.89229012619,1.00777149566,0.89229012619,1544.23210799,1367.27727311
-12.6953125,1.02860066082,0.904861311802,1.02860066082,0.904861311802,1576.14913061,1386.54039828
-11.23046875,1.04877017931,0.914073072947,1.04877017931,0.914073072947,1607.05536103,1400.65579784
-9.765625,1.06774141936,0.893403627123,1.06774141936,0.893403627123,1636.12544104,1368.98351694
-8.30078125,1.08500515894,0.892059694218,1.08500515894,0.892059694218,1662.57907768,1366.92417675
-6.8359375,1.10014906263,0.921665951774,1.10014906263,0.921665951774,1685.78443963,1412.29054572
-5.37109375,1.11281406954,0.906786460627,1.11281406954,0.906786460627,1705.19132939,1389.49034937
-3.90625,1.12269123273,0.866205479881,1.12269123273,0.866205479881,1720.32634025,1327.30715238
-2.44140625,1.12958705605,0.933533417861,1.12958705605,0.933533417861,1730.89297349,1430.47534481
-0.9765625,1.13337051691,1.09672851754,1.13337051691,1.09672851754,1736.69046009,1680.54305745
0.48828125,1.13391677244,1.13391677244,1.13391677244,1.13391677244,1737.52750037,1737.52750037
1.953125,1.13120074105,0.986009714723,1.13120074105,0.986009714723,1733.36566119,1510.88601615
3.41796875,1.12532768831,0.87173661665,1.12532768831,0.87173661665,1724.36624352,1335.78264412
4.8828125,1.11642832092,0.889786324867,1.11642832092,0.889786324867,1710.72953229,1363.4406391
6.34765625,1.10466323604,0.924650899354,1.10466323604,0.924650899354,1692.70161435,1416.86445153
7.8125,1.09030680497,0.901546431134,1.09030680497,0.901546431134,1670.70291533,1381.46092819
9.27734375,1.07370808128,0.887855490479,1.07370808128,0.887855490479,1645.26829829,1360.48197588
10.7421875,1.05525380599,0.909235896451,1.05525380599,0.909235896451,1616.99037561,1393.24367784
12.20703125,1.03542345501,0.911049081068,1.03542345501,0.911049081068,1586.60385958,1396.02206353
13.671875,1.01475458114,0.89366549282,1.01475458114,0.89366549282,1554.93245511,1369.38477994
15.13671875,0.993798359869,0.899206106742,0.993798359869,0.899206106742,1522.82074139,1377.87479375
16.6015625,0.973234602131,0.911297333225,0.973234602131,0.911297333225,1491.31040885,1396.40246619
18.06640625,0.953853160056,0.90165782495,0.953853160056,0.90165782495,1461.61176657,1381.63161957
19.53125,0.936351955208,0.895298176315,0.936351955208,0.895298176315,1434.79425628,1371.88657949
20.99609375,0.921516507987,0.90630147809,0.921516507987,0.90630147809,1412.06154947,1388.74719915
22.4609375,0.910538774529,0.907294973135,0.910538774529,0.907294973135,1395.24010875,1390.26955512
23.92578125,0.904339653809,0.89706351764,0.904339653809,0.89706351764,1385.74104939,1374.59165378
25.390625,0.902277886412,0.900501576581,0.902277886412,0.900501576581,1382.58175442,1379.85987284
26.85546875,0.902255564286,0.908347950806,0.902255564286,0.908347950806,1382.5475497,1391.88305772
28.3203125,0.902464023281,0.901832409423,0.902464023281,0.901832409423,1382.86697635,1381.89913949
29.78515625,0.902469312567,0.89737245387,0.902469312567,0.89737245387,1382.87508125,1375.06504407
31.25,0.902506804737,0.905344924027,0.902506804737,0.905344924027,1382.93253139,1387.28144873
32.71484375,0.902581827977,0.906102509429,0.902581827977,0.906102509429,1383.04749127,1388.44231477
34.1796875,0.902573402203,0.898263858821,0.902573402203,0.898263858821,1383.03458026,1376.43096497
35.64453125,0.902530406114,0.900931286048,0.902530406114,0.900931286048,1382.96869634,1380.51832682
37.109375,0.902513602318,0.907242359139,0.902513602318,0.907242359139,1382.94294748,1390.18893345
38.57421875,0.902488464767,0.901943969802,0.902488464767,0.901943969802,1382.90442862,1382.0700861
40.0390625,0.902459986161,0.89819130545,0.902459986161,0.89819130545,1382.86079018,1376.31978972
41.50390625,0.902464881982,0.904935988013,0.902464881982,0.904935988013,1382.86829216,1386.6548264
42.96875,0.902477097779,0.905613285525,0.902477097779,0.905613285525,1382.88701071,1387.6926654
44.43359375,0.902476637774,0.898745079512,0.902476637774,0.898745079512,1382.88630584,1377.16835082
45.8984375,0.902494142968,0.901126443323,0.902494142968,0.901126443323,1382.91312946,1380.81737093
47.36328125,0.902523396325,0.906831742937,0.902523396325,0.906831742937,1382.95795507,1389.55973653
48.828125,0.902529604909,0.901928075787,0.902529604909,0.901928075787,1382.96746863,1382.04573133
