position_um,density_x_across_cm3,density_y_along_cm3,density_z_across_cm3
-37.2256389351,0,0,0
-37.0390442537,0,0,0
-36.8524495723,0,0,0
-36.665854891,0,0,0
-36.4792602096,0,0,0
-36.2926655282,0,0,0
-36.1060708468,0,0,0
-35.9194761654,0,0,0
-35.7328814841,0,0,0
-35.5462868027,0,0,0
-35.3596921213,0,0,0
-35.1730974399,0,0,0
-34.9865027585,0,0,0
-34.7999080772,0,0,0
-34.6133133958,0,0,0
-34.4267187144,0,0,0
-34.240124033,0,0,0
-34.0535293517,0,0,0
-33.8669346703,0,0,0
-33.6803399889,0,0,0
-33.4937453075,0,0,0
-33.3071506261,0,0,0
-33.1205559448,0,0,0
-32.9339612634,0,0,0
-32.747366582,0,0,0
-32.5607719006,0,0,0
-32.3741772192,0,0,0
-32.1875825379,0,0,0
-32.0009878565,0,0,0
-31.8143931751,0,0,0
-31.6277984937,0,0,0
-31.4412038123,0,0,0
-31.254609131,0,0,0
-31.0680144496,0,0,0
-30.8814197682,0,0,0
-30.6948250868,0,0,0
-30.5082304055,0,0,0
-30.3216357241,0,0,0
-30.1350410427,0,0,0
-29.9484463613,0,0,0
-29.7618516799,0,0,0
-29.5752569986,0,0,0
-29.3886623172,0,0,0
-29.2020676358,0,0,0
-29.0154729544,0,0,0
-28.828878273,0,0,0
-28.6422835917,0,0,0
-28.4556889103,0,0,0
-28.2690942289,0,0,0
-28.0824995475,0,0,0
-27.8959048661,0,0,0
-27.7093101848,0,0,0
-27.5227155034,0,0,0
-27.336120822,0,0,0
-27.1495261406,0,0,0
-26.9629314593,0,0,0
-26.7763367779,0,0,0
-26.5897420965,0,0,0
-26.4031474151,0,0,0
-26.2165527337,0,0,0
-26.0299580524,0,0,0
-25.843363371,0,0,0
-25.6567686896,0,0,0
-25.4701740082,0,0,0
-25.2835793268,0,0,0
-25.0969846455,0,0,0
-24.9103899641,0,0,0
-24.7237952827,0,2.55174587329e+12,0
-24.5372006013,0,7.62640433316e+12,0
-24.35060592,0,1.26626184108e+13,0
-24.1640112386,0,1.76603881061e+13,0
-23.9774165572,0,2.26197134191e+13,0
-23.7908218758,0,2.75405943499e+13,0
-23.6042271944,0,3.24230308984e+13,0
-23.4176325131,0,3.72670230647e+13,0
-23.2310378317,0,4.20725708487e+13,0
-23.0444431503,0,4.68396742504e+13,0
-22.8578484689,0,5.15683332698e+13,0
-22.6712537875,0,5.62585479069e+13,0
-22.4846591062,0,6.09103181618e+13,0
-22.2980644248,0,6.55236440344e+13,0
-22.1114697434,0,7.00985255248e+13,0
-21.924875062,0,7.46349626328e+13,0
-21.7382803806,0,7.91329553586e+13,0
-21.5516856993,0,8.35925037022e+13,0
-21.3650910179,0,8.80136076634e+13,0
-21.1784963365,0,9.23962672424e+13,0
-20.9919016551,0,9.67404824391e+13,0
-20.8053069738,0,1.01046253254e+14,0
-20.6187122924,0,1.05313579686e+14,0
-20.432117611,0,1.09542461736e+14,0
-20.2455229296,0,1.13732899403e+14,0
-20.0589282482,0,1.17884892689e+14,0
-19.8723335669,0,1.21998441592e+14,0
-19.6857388855,0,1.26073546112e+14,0
-19.4991442041,0,1.30110206251e+14,0
-19.3125495227,0,1.34108422007e+14,0
-19.1259548413,0,1.38068193381e+14,0
-18.93936016,0,1.41989520373e+14,0
-18.7527654786,0,1.45872402982e+14,0
-18.5661707972,0,1.4971684121e+14,0
-18.3795761158,0,1.53522835054e+14,0
-18.1929814344,0,1.57290384517e+14,0
-18.0063867531,0,1.61019489597e+14,0
-17.8197920717,0,1.64710150296e+14,0
-17.6331973903,0,1.68362366611e+14,0
-17.4466027089,0,1.71976138545e+14,0
-17.2600080276,0,1.75551466096e+14,0
-17.0734133462,0,1.79088349265e+14,0
-16.8868186648,0,1.82586788052e+14,0
-16.7002239834,0,1.86046782456e+14,0
-16.513629302,0,1.89468332479e+14,0
-16.3270346207,0,1.92851438118e+14,0
-16.1404399393,0,1.96196099376e+14,0
-15.9538452579,0,1.99502316251e+14,0
-15.7672505765,0,2.02770088745e+14,0
-15.5806558951,0,2.05999416855e+14,0
-15.3940612138,0,2.09190300584e+14,0
-15.2074665324,0,2.1234273993e+14,0
-15.020871851,0,2.15456734894e+14,0
-14.8342771696,0,2.18532285476e+14,0
-14.6476824882,0,2.21569391675e+14,0
-14.4610878069,0,2.24568053493e+14,0
-14.2744931255,0,2.27528270928e+14,0
-14.0878984441,0,2.3045004398e+14,0
-13.9013037627,0,2.33333372651e+14,0
-13.7147090814,0,2.36178256939e+14,0
-13.5281144,0,2.38984696845e+14,0
-13.3415197186,0,2.41752692368e+14,0
-13.1549250372,0,2.44482243509e+14,0
-12.9683303558,0,2.47173350268e+14,0
-12.7817356745,0,2.49826012645e+14,0
-12.5951409931,0,2.5244023064e+14,0
-12.4085463117,0,2.55016004252e+14,0
-12.2219516303,0,2.57553333482e+14,0
-12.0353569489,0,2.6005221833e+14,0
-11.8487622676,0,2.62512658795e+14,0
-11.6621675862,0,2.64934654878e+14,0
-11.4755729048,0,2.67318206579e+14,0
-11.2889782234,0,2.69663313897e+14,0
-11.102383542,0,2.71969976834e+14,0
-10.9157888607,0,2.74238195388e+14,0
-10.7291941793,0,2.7646796956e+14,0
-10.5425994979,0,2.78659299349e+14,0
-10.3560048165,0,2.80812184756e+14,0
-10.1694101352,0,2.82926625781e+14,0
-9.98281545377,0,2.85002622424e+14,0
-9.79622077239,0,2.87040174684e+14,0
-9.60962609101,0,2.89039282562e+14,0
-9.42303140964,0,2.90999946058e+14,0
-9.23643672826,0,2.92922165172e+14,0
-9.04984204688,0,2.94805939903e+14,0
-8.8632473655,0,2.96651270252e+14,0
-8.67665268412,0,2.98458156219e+14,0
-8.49005800274,0,3.00226597804e+14,0
-8.30346332136,0,3.01956595006e+14,0
-8.11686863998,0,3.03648147826e+14,0
-7.9302739586,0,3.05301256263e+14,0
-7.74367927723,0,3.06915920319e+14,0
-7.55708459585,0,3.08492139992e+14,0
-7.37048991447,0,3.10029915283e+14,0
-7.18389523309,0,3.11529246191e+14,0
-6.99730055171,0,3.12990132718e+14,0
-6.81070587033,0,3.14412574862e+14,0
-6.62411118895,0,3.15796572624e+14,0
-6.43751650757,0,3.17142126003e+14,0
-6.25092182619,0,3.18449235e+14,0
-6.06432714482,0,3.19717899615e+14,0
-5.87773246344,0,3.20948119848e+14,0
-5.69113778206,0,3.22139895698e+14,0
-5.50454310068,0,3.23293227167e+14,0
-5.3179484193,0,3.24408114252e+14,0
-5.13135373792,0,3.25484556956e+14,0
-4.94475905654,0,3.26522555277e+14,0
-4.75816437516,0,3.27522109216e+14,0
-4.57156969378,0,3.28483218773e+14,0
-4.3849750124,0,3.29405883948e+14,0
-4.19838033103,0,3.3029010474e+14,0
-4.01178564965,0,3.3113588115e+14,0
-3.82519096827,0,3.31943213178e+14,0
-3.63859628689,0,3.32712100823e+14,0
-3.45200160551,0,3.33442544086e+14,0
-3.26540692413,0,3.34134542967e+14,0
-3.07881224275,0,3.34788097466e+14,0
-2.89221756137,0,3.35403207582e+14,0
-2.70562287999,0,3.35979873316e+14,0
-2.51902819862,0,3.36518094668e+14,0
-2.33243351724,0,3.37017871638e+14,0
-2.14583883586,0,3.37479204225e+14,0
-1.95924415448,0,3.3790209243e+14,0
-1.7726494731,0,3.38286536253e+14,0
-1.58605479172,0,3.38632535693e+14,0
-1.39946011034,0,3.38940090751e+14,4.05321230848e+13
-1.21286542896,0,3.39209201427e+14,1.15071661269e+14
-1.02627074758,8.53339508575e+13,3.39439867721e+14,1.78962693998e+14
-0.839676066205,1.69528128757e+14,3.39632089632e+14,2.32205221272e+14
-0.653081384826,2.36883471076e+14,3.39785867161e+14,2.74799243092e+14
-0.466486703447,2.87399977816e+14,3.39901200308e+14,3.06744759456e+14
-0.279892022068,3.21077648975e+14,3.39978089072e+14,3.28041770366e+14
-0.0932973406895,3.37916484555e+14,3.40016533455e+14,3.38690275821e+14
0.0932973406895,3.37916484555e+14,3.40016533455e+14,3.38690275821e+14
0.279892022068,3.21077648975e+14,3.39978089072e+14,3.28041770366e+14
0.466486703447,2.87399977816e+14,3.39901200308e+14,3.06744759456e+14
0.653081384826,2.36883471076e+14,3.39785867161e+14,2.74799243092e+14
0.839676066205,1.69528128757e+14,3.39632089632e+14,2.32205221272e+14
1.02627074758,8.53339508575e+13,3.39439867721e+14,1.78962693998e+14
1.21286542896,0,3.39209201427e+14,1.15071661269e+14
1.39946011034,0,3.38940090751e+14,4.05321230848e+13
1.58605479172,0,3.38632535693e+14,0
1.7726494731,0,3.38286536253e+14,0
1.95924415448,0,3.3790209243e+14,0
2.14583883586,0,3.37479204225e+14,0
2.33243351724,0,3.37017871638e+14,0
2.51902819862,0,3.36518094668e+14,0
2.70562287999,0,3.35979873316e+14,0
2.89221756137,0,3.35403207582e+14,0
3.07881224275,0,3.34788097466e+14,0
3.26540692413,0,3.34134542967e+14,0
3.45200160551,0,3.33442544086e+14,0
3.63859628689,0,3.32712100823e+14,0
3.82519096827,0,3.31943213178e+14,0
4.01178564965,0,3.3113588115e+14,0
4.19838033103,0,3.3029010474e+14,0
4.3849750124,0,3.29405883948e+14,0
4.57156969378,0,3.28483218773e+14,0
4.75816437516,0,3.27522109216e+14,0
4.94475905654,0,3.26522555277e+14,0
5.13135373792,0,3.25484556956e+14,0
5.3179484193,0,3.24408114252e+14,0
5.50454310068,0,3.23293227167e+14,0
5.69113778206,0,3.22139895698e+14,0
5.87773246344,0,3.20948119848e+14,0
6.06432714482,0,3.19717899615e+14,0
6.25092182619,0,3.18449235e+14,0
6.43751650757,0,3.17142126003e+14,0
6.62411118895,0,3.15796572624e+14,0
6.81070587033,0,3.14412574862e+14,0
6.99730055171,0,3.12990132718e+14,0
7.18389523309,0,3.11529246191e+14,0
7.37048991447,0,3.10029915283e+14,0
7.55708459585,0,3.08492139992e+14,0
7.74367927723,0,3.06915920319e+14,0
7.9302739586,0,3.05301256263e+14,0
8.11686863998,0,3.03648147826e+14,0
8.30346332136,0,3.01956595006e+14,0
8.49005800274,0,3.00226597804e+14,0
8.67665268412,0,2.98458156219e+14,0
8.8632473655,0,2.96651270252e+14,0
9.04984204688,0,2.94805939903e+14,0
9.23643672826,0,2.92922165172e+14,0
9.42303140964,0,2.90999946058e+14,0
9.60962609101,0,2.89039282562e+14,0
9.79622077239,0,2.87040174684e+14,0
9.98281545377,0,2.85002622424e+14,0
10.1694101352,0,2.82926625781e+14,0
10.3560048165,0,2.80812184756e+14,0
10.5425994979,0,2.78659299349e+14,0
10.7291941793,0,2.7646796956e+14,0
10.9157888607,0,2.74238195388e+14,0
11.102383542,0,2.71969976834e+14,0
11.2889782234,0,2.69663313897e+14,0
11.4755729048,0,2.67318206579e+14,0
11.6621675862,0,2.64934654878e+14,0
11.8487622676,0,2.62512658795e+14,0
12.0353569489,0,2.6005221833e+14,0
12.2219516303,0,2.57553333482e+14,0
12.4085463117,0,2.55016004252e+14,0
12.5951409931,0,2.5244023064e+14,0
12.7817356745,0,2.49826012645e+14,0
12.9683303558,0,2.47173350268e+14,0
13.1549250372,0,2.44482243509e+14,0
13.3415197186,0,2.41752692368e+14,0
13.5281144,0,2.38984696845e+14,0
13.7147090814,0,2.36178256939e+14,0
13.9013037627,0,2.33333372651e+14,0
14.0878984441,0,2.3045004398e+14,0
14.2744931255,0,2.27528270928e+14,0
14.4610878069,0,2.24568053493e+14,0
14.6476824882,0,2.21569391675e+14,0
14.8342771696,0,2.18532285476e+14,0
15.020871851,0,2.15456734894e+14,0
15.2074665324,0,2.1234273993e+14,0
15.3940612138,0,2.09190300584e+14,0
15.5806558951,0,2.05999416855e+14,0
15.7672505765,0,2.02770088745e+14,0
15.9538452579,0,1.99502316251e+14,0
16.1404399393,0,1.96196099376e+14,0
16.3270346207,0,1.92851438118e+14,0
16.513629302,0,1.89468332479e+14,0
16.7002239834,0,1.86046782456e+14,0
16.8868186648,0,1.82586788052e+14,0
17.0734133462,0,1.79088349265e+14,0
17.2600080276,0,1.75551466096e+14,0
17.4466027089,0,1.71976138545e+14,0
17.6331973903,0,1.68362366611e+14,0
17.8197920717,0,1.64710150296e+14,0
18.0063867531,0,1.61019489597e+14,0
18.1929814344,0,1.57290384517e+14,0
18.3795761158,0,1.53522835054e+14,0
18.5661707972,0,1.4971684121e+14,0
18.7527654786,0,1.45872402982e+14,0
18.93936016,0,1.41989520373e+14,0
19.1259548413,0,1.38068193381e+14,0
19.3125495227,0,1.34108422007e+14,0
19.4991442041,0,1.30110206251e+14,0
19.6857388855,0,1.26073546112e+14,0
19.8723335669,0,1.21998441592e+14,0
20.0589282482,0,1.17884892689e+14,0
20.2455229296,0,1.13732899403e+14,0
20.432117611,0,1.09542461736e+14,0
20.6187122924,0,1.05313579686e+14,0
20.8053069738,0,1.01046253254e+14,0
20.9919016551,0,9.67404824391e+13,0
21.1784963365,0,9.23962672424e+13,0
21.3650910179,0,8.80136076634e+13,0
21.5516856993,0,8.35925037022e+13,0
21.7382803806,0,7.91329553586e+13,0
21.924875062,0,7.46349626328e+13,0
22.1114697434,0,7.00985255248e+13,0
22.2980644248,0,6.55236440344e+13,0
22.4846591062,0,6.09103181618e+13,0
22.6712537875,0,5.62585479069e+13,0
22.8578484689,0,5.15683332698e+13,0
23.0444431503,0,4.68396742504e+13,0
23.2310378317,0,4.20725708487e+13,0
23.4176325131,0,3.72670230647e+13,0
23.6042271944,0,3.24230308984e+13,0
23.7908218758,0,2.75405943499e+13,0
23.9774165572,0,2.26197134191e+13,0
24.1640112386,0,1.76603881061e+13,0
24.35060592,0,1.26626184108e+13,0
24.5372006013,0,7.62640433316e+12,0
24.7237952827,0,2.55174587329e+12,0
24.9103899641,0,0,0
25.0969846455,0,0,0
25.2835793268,0,0,0
25.4701740082,0,0,0
25.6567686896,0,0,0
25.843363371,0,0,0
26.0299580524,0,0,0
26.2165527337,0,0,0
26.4031474151,0,0,0
26.5897420965,0,0,0
26.7763367779,0,0,0
26.9629314593,0,0,0
27.1495261406,0,0,0
27.336120822,0,0,0
27.5227155034,0,0,0
27.7093101848,0,0,0
27.8959048661,0,0,0
28.0824995475,0,0,0
28.2690942289,0,0,0
28.4556889103,0,0,0
28.6422835917,0,0,0
28.828878273,0,0,0
29.0154729544,0,0,0
29.2020676358,0,0,0
29.3886623172,0,0,0
29.5752569986,0,0,0
29.7618516799,0,0,0
29.9484463613,0,0,0
30.1350410427,0,0,0
30.3216357241,0,0,0
30.5082304055,0,0,0
30.6948250868,0,0,0
30.8814197682,0,0,0
31.0680144496,0,0,0
31.254609131,0,0,0
31.4412038123,0,0,0
31.6277984937,0,0,0
31.8143931751,0,0,0
32.0009878565,0,0,0
32.1875825379,0,0,0
32.3741772192,0,0,0
32.5607719006,0,0,0
32.747366582,0,0,0
32.9339612634,0,0,0
33.1205559448,0,0,0
33.3071506261,0,0,0
33.4937453075,0,0,0
33.6803399889,0,0,0
33.8669346703,0,0,0
34.0535293517,0,0,0
