position_um,profile_transverse_a,profile_transverse_b,column_density_transverse_a_cm2,column_density_transverse_b_cm2
-2.34375,0.986651234039,0,53041999879.8,0
-2.24609375,0.987738214321,0,53100435531.7,0
-2.1484375,0.988779313903,0,53156404654.3,0
-2.05078125,0.989774483912,0,53209904620.3,0
-1.953125,0.990723677672,0,53260932920.5,0
-1.85546875,0.991626850704,0,53309487163.5,0
-1.7578125,0.992483960719,0,53355565076.1,0
-1.66015625,0.993294967619,0,53399164502.6,0
-1.5625,0.994059833489,0,53440283404.5,0
-1.46484375,0.994778522596,0.00654212780915,53478919861.1,351702334.62
-1.3671875,0.995451001389,0.0636162979351,53515072068.5,3419988290.71
-1.26953125,0.996077238492,0.144338921135,53548738340,7759606204.67
-1.171875,0.996657204703,0.236458208023,53579917105.8,12711904479.4
-1.07421875,0.997190872994,0.333628253256,53608606912.7,17935729626.3
-0.9765625,0.997678218506,0.431589116337,53634806424.4,23202068843.7
-0.87890625,0.998119218547,0.527185201494,53658514421.1,28341278487.9
-0.78125,0.998513852594,0.617960687053,53679729799.2,33221334507.7
-0.68359375,0.998862102286,0.701954005059,53698451571.9,37736783746.4
-0.5859375,0.999163951427,0.7775797204,53714678868.4,41802393807.6
-0.48828125,0.999419385983,0.843554971855,53728410934.2,45349198553.8
-0.390625,0.99962839408,0.898851162016,53739647131.1,48321900974.6
-0.29296875,0.999790966005,0.942661172227,53748386936.7,50677110673.9
-0.1953125,0.999907094204,0.974376807787,53754629945.1,52382131333.2
-0.09765625,0.999976773281,0.993573432705,53758375866.1,53414134681
0,1,1,53759624525.8,53759624525.8
0.09765625,0.999976773281,0.993573432705,53758375866.1,53414134681
0.1953125,0.999907094204,0.974376807787,53754629945.1,52382131333.2
0.29296875,0.999790966005,0.942661172227,53748386936.7,50677110673.9
0.390625,0.99962839408,0.898851162016,53739647131.1,48321900974.6
0.48828125,0.999419385983,0.843554971855,53728410934.2,45349198553.8
0.5859375,0.999163951427,0.7775797204,53714678868.4,41802393807.6
0.68359375,0.998862102286,0.701954005059,53698451571.9,37736783746.4
0.78125,0.998513852594,0.617960687053,53679729799.2,33221334507.7
0.87890625,0.998119218547,0.527185201494,53658514421.1,28341278487.9
0.9765625,0.997678218506,0.431589116337,53634806424.4,23202068843.7
1.07421875,0.997190872994,0.333628253256,53608606912.7,17935729626.3
1.171875,0.996657204703,0.236458208023,53579917105.8,12711904479.4
1.26953125,0.996077238492,0.144338921135,53548738340,7759606204.67
1.3671875,0.995451001389,0.0636162979351,53515072068.5,3419988290.71
1.46484375,0.994778522596,0.00654212780915,53478919861.1,351702334.62
1.5625,0.994059833489,0,53440283404.5,0
1.66015625,0.993294967619,0,53399164502.6,0
1.7578125,0.992483960719,0,53355565076.1,0
1.85546875,0.991626850704,0,53309487163.5,0
1.953125,0.990723677672,0,53260932920.5,0
2.05078125,0.989774483912,0,53209904620.3,0
2.1484375,0.988779313903,0,53156404654.3,0
2.24609375,0.987738214321,0,53100435531.7,0
2.34375,0.986651234039,0,53041999879.8,0
2.44140625,0.985518424134,0,52981100444.7,0
2.5390625,0.984339837889,0,52917740090.7,0
2.63671875,0.9831155308,0,52851921801.3,0
2.734375,0.981845560576,0,52783648678.9,0
2.83203125,0.980529987148,0,52712923945.3,0
2.9296875,0.97916887267,0,52639750942.1,0
3.02734375,0.977762281528,0,52564133130.4,0
3.125,0.976310280341,0,52486074091.8,0
3.22265625,0.974812937971,0,52405577528.2,0
3.3203125,0.973270325522,0,52322647262.2,0
3.41796875,0.971682516354,0,52237287237.5,0
3.515625,0.970049586082,0,52149501519.2,0
3.61328125,0.968371612586,0,52059294294,0
3.7109375,0.966648676014,0,51966669870.9,0
3.80859375,0.964880858794,0,51871632680.9,0
3.90625,0.963068245635,0,51774187278,0
4.00390625,0.961210923537,0,51674338339.5,0
4.1015625,0.959308981799,0,51572090665.7,0
4.19921875,0.957362512024,0,51467449181.5,0
4.296875,0.955371608126,0,51360418935.5,0
4.39453125,0.953336366343,0,51251005101.4,0
4.4921875,0.951256885238,0,51139212978,0
4.58984375,0.949133265715,0,51025047989.8,0
4.6875,0.946965611019,0,50908515687.2,0
4.78515625,0.944754026752,0,50789621747.4,0
4.8828125,0.942498620878,0,50668371974.5,0
4.98046875,0.940199503735,0,50544772300.1,0
5.078125,0.937856788039,0,50418828784,0
5.17578125,0.935470588903,0,50290547614.3,0
5.2734375,0.933041023836,0,50159935108.6,0
5.37109375,0.930568212764,0,50026997713.8,0
5.46875,0.92805227803,0,49891742007.2,0
5.56640625,0.925493344414,0,49754174696.8,0
5.6640625,0.922891539138,0,49614302622.1,0
5.76171875,0.92024699188,0,49472132754.4,0
5.859375,0.917559834784,0,49327672197.9,0
5.95703125,0.914830202473,0,49180928189.8,0
6.0546875,0.912058232062,0,49031908101.3,0
6.15234375,0.909244063167,0,48880619438.1,0
6.25,0.90638783792,0,48727069841.3,0
6.34765625,0.903489700983,0,48571267087.8,0
6.4453125,0.900549799561,0,48413219091.2,0
6.54296875,0.897568283411,0,48252933902.4,0
6.640625,0.894545304863,0,48090419710.8,0
6.73828125,0.891481018831,0,47925684844.2,0
6.8359375,0.888375582824,0,47758737770.5,0
6.93359375,0.885229156967,0,47589587097.8,0
7.03125,0.882041904014,0,47418241575.8,0
7.12890625,0.878813989362,0,47244710096.1,0
7.2265625,0.875545581068,0,47069001693.4,0
7.32421875,0.872236849865,0,46891125546.3,0
7.421875,0.868887969182,0,46711090978.2,0
7.51953125,0.865499115155,0,46528907458.1,0
7.6171875,0.862070466648,0,46344584601.8,0
7.71484375,0.858602205272,0,46158132172.4,0
7.8125,0.8550945154,0,45969560082,0
7.91015625,0.851547584188,0,45778878391.8,0
8.0078125,0.847961601593,0,45586097313.9,0
8.10546875,0.844336760394,0,45391227212.1,0
8.203125,0.840673256208,0,45194278602.6,0
8.30078125,0.836971287516,0,44995262155.7,0
8.3984375,0.833231055679,0,44794188696.5,0
8.49609375,0.829452764962,0,44591069206.2,0
8.59375,0.825636622554,0,44385914823.2,0
8.69140625,0.821782838592,0,44178736844.4,0
8.7890625,0.817891626182,0,43969546726.3,0
8.88671875,0.813963201425,0,43758356086.4,0
8.984375,0.809997783436,0,43545176704.3,0
9.08203125,0.805995594374,0,43330020523,0
9.1796875,0.801956859463,0,43112899650.6,0
9.27734375,0.797881807017,0,42893826361.2,0
9.375,0.793770668469,0,42672813096.5,0
9.47265625,0.789623678396,0,42449872467.3,0
9.5703125,0.785441074547,0,42225017254.8,0
9.66796875,0.781223097867,0,41998260412.2,0
9.765625,0.776969992532,0,41769615066.3,0
9.86328125,0.772682005973,0,41539094519,0
9.9609375,0.768359388908,0,41306712248.5,0
10.05859375,0.764002395369,0,41072481911.9,0
10.15625,0.759611282741,0,40836417345.7,0
10.25390625,0.755186311784,0,40598532568.5,0
10.3515625,0.750727746673,0,40358841782.3,0
10.44921875,0.74623585503,0,40117359374.1,0
10.546875,0.741710907953,0,39874099918.3,0
10.64453125,0.73715318006,0,39629078178,0
10.7421875,0.732562949515,0,39382309107.4,0
10.83984375,0.727940498074,0,39133807853.6,0
10.9375,0.723286111114,0,38883589758.2,0
11.03515625,0.718600077679,0,38631670360.2,0
11.1328125,0.713882690513,0,38378065397.5,0
11.23046875,0.709134246106,0,38122790809,0
11.328125,0.70435504473,0,37865862737.5,0
11.42578125,0.699545390485,0,37607297531.2,0
11.5234375,0.694705591342,0,37347111746.5,0
11.62109375,0.689835959186,0,37085322150.2,0
11.71875,0.684936809861,0,36821945722,0
11.81640625,0.68000846322,0,36556999657.1,0
11.9140625,0.67505124317,0,36290501368.5,0
12.01171875,0.670065477722,0,36022468490,0
12.109375,0.665051499042,0,35752918878.8,0
12.20703125,0.6600096435,0,35481870618,0
12.3046875,0.654940251727,0,35209342019.7,0
12.40234375,0.649843668668,0,34935351628,0
12.5,0.644720243633,0,34659918221.9,0
12.59765625,0.639570330363,0,34383060818.2,0
12.6953125,0.634394287083,0,34104798674.9,0
12.79296875,0.62919247656,0,33825151294.3,0
12.890625,0.623965266174,0,33544138426.7,0
12.98828125,0.618713027973,0,33261780073,0
13.0859375,0.613436138741,0,32978096489.3,0
13.18359375,0.608134980068,0,32693108189.5,0
13.28125,0.602809938415,0,32406835949.6,0
13.37890625,0.597461405189,0,32119300811.6,0
13.4765625,0.592089776811,0,31830524086.9,0
13.57421875,0.586695454797,0,31540527360.9,0
13.671875,0.58127884583,0,31249332496.6,0
13.76953125,0.575840361842,0,30956961639.4,0
13.8671875,0.570380420096,0,30663437221.2,0
13.96484375,0.564899443271,0,30368781965.1,0
14.0625,0.559397859544,0,30073018889.6,0
14.16015625,0.553876102686,0,29776171314.2,0
14.2578125,0.548334612148,0,29478262863.5,0
14.35546875,0.542773833159,0,29179317473,0
14.453125,0.537194216823,0,28879359393.8,0
14.55078125,0.53159622022,0,28578413198.4,0
14.6484375,0.525980306509,0,28276503785.9,0
14.74609375,0.520346945035,0,27973656388.2,0
14.84375,0.514696611442,0,27669896575.8,0
14.94140625,0.509029787781,0,27365250263.5,0
15.0390625,0.503346962636,0,27059743717.5,0
15.13671875,0.497648631238,0,26753403561.1,0
15.234375,0.491935295597,0,26446256782.3,0
15.33203125,0.486207464626,0,26138330739.9,0
15.4296875,0.480465654281,0,25829653171.7,0
15.52734375,0.474710387693,0,25520252200.9,0
15.625,0.468942195318,0,25210156344.6,0
15.72265625,0.463161615083,0,24899394521.6,0
15.8203125,0.457369192539,0,24587996060.6,0
15.91796875,0.451565481021,0,24275990708.5,0
16.015625,0.445751041813,0,23963408639.9,0
16.11328125,0.43992644432,0,23650280465.6,0
16.2109375,0.434092266243,0,23336637242.7,0
16.30859375,0.428249093764,0,23022510484.3,0
16.40625,0.422397521741,0,22707932169.4,0
16.50390625,0.416538153897,0,22392934754.2,0
16.6015625,0.410671603035,0,22077551182.6,0
16.69921875,0.404798491247,0,21761814898,0
16.796875,0.398919450136,0,21445759855.3,0
16.89453125,0.39303512105,0,21129420533.1,0
16.9921875,0.387146155319,0,20812831946.6,0
17.08984375,0.381253214511,0,20496029661.3,0
17.1875,0.375356970684,0,20179049807.1,0
17.28515625,0.369458106668,0,19861929092.5,0
17.3828125,0.36355731634,0,19544704820.1,0
17.48046875,0.357655304925,0,19227414902.4,0
17.578125,0.351752789302,0,18910097878.8,0
17.67578125,0.345850498326,0,18592792932.1,0
17.7734375,0.339949173169,0,18275539907.4,0
17.87109375,0.334049567666,0,17958379330.7,0
17.96875,0.328152448689,0,17641352428.8,0
