position_um,dgi_intensity_y_line_incident_i0,dgi_intensity_z_line_incident_i0,dgi_signal_y_line_minus_reference_intensity,dgi_signal_z_line_minus_reference_intensity
-50,0.000100010854287,0.000111517824184,1.08542868685e-08,1.15178241844e-05
-49.90234375,0.000100010838626,0.000111386345699,1.08386257088e-08,1.13863456993e-05
-49.8046875,0.00010001079171,0.000110997998375,1.07917095502e-08,1.09979983754e-05
-49.70703125,0.00010001071374,0.000110370719969,1.0713739592e-08,1.03707199688e-05
-49.609375,0.000100010605049,0.000109533336237,1.06050486749e-08,9.53333623658e-06
-49.51171875,0.000100010466098,0.000108524018172,1.04660977074e-08,8.5240181721e-06
-49.4140625,0.000100010297471,0.000107388244444,1.0297470982e-08,7.38824444363e-06
-49.31640625,0.000100010099871,0.000106176383004,1.00998706646e-08,6.17638300363e-06
-49.21875,0.000100009874111,0.000104941027006,9.87411079158e-09,4.94102700629e-06
-49.12109375,0.000100009621111,0.000103734233702,9.62111111802e-09,3.73423370214e-06
-49.0234375,0.000100009341891,0.000102604820101,9.34189115604e-09,2.60482010143e-06
-48.92578125,0.000100009037565,0.000101595865628,9.03756469823e-09,1.5958656284e-06
-48.828125,0.000100008709335,0.000100742559931,8.70933506108e-09,7.42559931197e-07
-48.73046875,0.000100008358491,0.000100070514154,8.35849119507e-09,7.05141541897e-08
-48.6328125,0.000100007986405,9.95946274497e-05,7.98640470613e-09,-4.05372550254e-07
-48.53515625,0.000100007594528,9.9318568813e-05,7.59452772337e-09,-6.81431187043e-07
-48.4375,0.000100007184391,9.9234899265e-05,7.18439143329e-09,-7.65100734992e-07
-48.33984375,0.000100006757605,9.93258229806e-05,6.75760499454e-09,-6.74177019353e-07
-48.2421875,0.000100006315854,9.95645202212e-05,6.31585445595e-09,-4.35479778809e-07
-48.14453125,0.000100005860901,9.99169819268e-05,5.86090122789e-09,-8.30180731952e-08
-48.046875,0.00010000539458,0.000100344237415,5.39457961717e-09,3.44237415408e-07
-47.94921875,0.000100004918793,0.000100804844445,4.91879292035e-09,8.0484444492e-07
-47.8515625,0.000100004435508,0.000101257496182,4.43550759968e-09,1.25749618207e-06
-47.75390625,0.000100003946745,0.000101663593222,3.94674512097e-09,1.66359322192e-06
-47.65625,0.000100003454571,0.000101989631082,3.45457112776e-09,1.9896310821e-06
-47.55859375,0.000100002961082,0.000102209264427,2.96108174865e-09,2.20926442682e-06
-47.4609375,0.000100002468387,0.000102304928043,2.46838698162e-09,2.30492804264e-06
-47.36328125,0.000100001978591,0.000102268920225,1.97859126017e-09,2.26892022519e-06
-47.265625,0.000100001493771,0.000102103885285,1.49377147949e-09,2.10388528535e-06
-47.16796875,0.000100001015953,0.000101822666578,1.01595292542e-09,1.82266657821e-06
-47.0703125,0.000100000547084,0.000101447537823,5.47083708264e-10,1.44753782266e-06
-46.97265625,0.000100000089008,0.000101008856441,8.90084359706e-11,1.00885644087e-06
-46.875,9.9999643442e-05,0.000100543216153,-3.56558032855e-10,5.4321615304e-07
-46.77734375,9.99992119442e-05,0.000100091205199,-7.88055849702e-10,9.12051994317e-08
-46.6796875,9.99987958965e-05,9.96948996588e-05,-1.20410351667e-09,-3.05100341214e-07
-46.58203125,9.99983964816e-05,9.93952370641e-05,-1.60351839508e-09,-6.04762935877e-07
-46.484375,9.99980146665e-05,9.92294229717e-05,-1.98533353398e-09,-7.70577028341e-07
-46.38671875,9.99976511899e-05,9.92285218763e-05,-2.34881008117e-09,-7.7147812368e-07
-46.2890625,9.99973065553e-05,9.94153739417e-05,-2.69344468547e-09,-5.84626058313e-07
-46.19140625,9.99969810285e-05,9.98029609703e-05,-3.01897148209e-09,-1.97039029667e-07
-46.09375,9.99966746415e-05,0.000100393319892,-3.32535845354e-09,3.93319891799e-07
-45.99609375,9.99963872018e-05,0.000101177071205,-3.61279818068e-09,1.17707120527e-06
-45.8984375,9.99961183068e-05,0.000102133595024,-3.88169321412e-09,2.13359502395e-06
-45.80078125,9.99958673635e-05,0.000103231850598,-4.13263651219e-09,3.23185059792e-06
-45.703125,9.99956336124e-05,0.000104431798528,-4.36638758238e-09,4.43179852756e-06
-45.60546875,9.99954161549e-05,0.000105686350406,-4.58384512772e-09,5.68635040556e-06
-45.5078125,9.99952139829e-05,0.000106943740306,-4.7860171257e-09,6.94374030573e-06
-45.41015625,9.99950260106e-05,0.000108150188105,-4.9739893515e-09,8.15018810494e-06
-45.3125,9.99948511066e-05,0.000109252707482,-5.14889339143e-09,9.25270748199e-06
-45.21484375,9.99946881248e-05,0.000110201902577,-5.31187518227e-09,1.02019025767e-05
-45.1171875,9.9994535935e-05,0.000110954597237,-5.46406504987e-09,1.09545972366e-05
-45.01953125,9.99943934499e-05,0.000111476149555,-5.60655011979e-09,1.14761495552e-05
-44.921875,9.99942596502e-05,0.000111742321535,-5.74034983132e-09,1.17423215354e-05
-44.82421875,9.99941336049e-05,0.00011174059825,-5.86639512029e-09,1.17405982501e-05
-44.7265625,9.99940144884e-05,0.000111470881439,-5.98551164646e-09,1.14708814386e-05
-44.62890625,9.99939015928e-05,0.000110945517367,-6.09840724976e-09,1.0945517367e-05
-44.53125,9.99937943364e-05,0.00011018865601,-6.20566362537e-09,1.01886560105e-05
-44.43359375,9.9993692268e-05,0.000109234976099,-6.30773203084e-09,9.23497609944e-06
-44.3359375,9.99935950673e-05,0.000108127846179,-6.40493268107e-09,8.12784617858e-06
-44.23828125,9.99935025426e-05,0.000106917023534,-6.49745736531e-09,6.91702353433e-06
-44.140625,9.99934146253e-05,0.000105656018862,-6.58537472997e-09,5.65601886162e-06
-44.04296875,9.99933313624e-05,0.000104399273367,-6.66863762431e-09,4.3992733666e-06
-43.9453125,9.99932529081e-05,0.000103199305568,-6.74709190215e-09,3.19930556809e-06
-43.84765625,9.99931795139e-05,0.000102103986748,-6.8204861024e-09,2.1039867481e-06
-43.75,9.99931115185e-05,0.000101154096701,-6.88848150342e-09,1.15409670119e-06
-43.65234375,9.99930493379e-05,0.000100381295541,-6.95066214289e-09,3.81295541052e-07
-43.5546875,9.99929934555e-05,9.98066237269e-05,-7.00654451439e-09,-1.93376273085e-07
-43.45703125,9.99929444132e-05,9.94396124975e-05,-7.05558678115e-09,-5.60387502462e-07
-43.359375,9.99929028025e-05,9.92780522364e-05,-7.09719748044e-09,-7.21947763582e-07
-43.26171875,9.99928692562e-05,9.93084288991e-05,-7.13074381515e-09,-6.91571100943e-07
-43.1640625,9.99928444403e-05,9.95070006304e-05,-7.15555973115e-09,-4.92999369636e-07
-43.06640625,9.99928290459e-05,9.98414502467e-05,-7.17095406211e-09,-1.58549753288e-07
-42.96875,9.99928237809e-05,0.000100273016428,-7.17621906503e-09,2.73016428155e-07
-42.87109375,9.99928293603e-05,0.000100758979137,-7.17063967958e-09,7.58979136685e-07
-42.7734375,9.99928464962e-05,0.000101255354513,-7.15350381605e-09,1.25535451259e-06
-42.67578125,9.99928758861e-05,0.000101719642472,-7.12411390993e-09,1.71964247187e-06
-42.578125,9.99929182001e-05,0.000102113467137,-7.08179987894e-09,2.11346713686e-06
-42.48046875,9.99929740665e-05,0.000102404956277,-7.02593349513e-09,2.40495627697e-06
-42.3828125,9.9993044056e-05,0.000102570720795,-6.95594403666e-09,2.57072079453e-06
-42.28515625,9.99931286651e-05,0.000102597318139,-6.87133493022e-09,2.59731813865e-06
-42.1875,9.99932282991e-05,0.000102482113086,-6.77170094376e-09,2.48211308582e-06
-42.08984375,9.99933432546e-05,0.000102233483924,-6.65674535147e-09,2.23348392389e-06
-41.9921875,9.99934737036e-05,0.000101870359757,-6.5262963773e-09,1.87035975695e-06
-41.89453125,9.99936196779e-05,0.000101421113273,-6.38032214552e-09,1.4211132727e-06
-41.796875,9.99937810567e-05,0.000100921870679,-6.21894332622e-09,9.21870679432e-07
-41.69921875,9.99939575573e-05,0.000100414334492,-6.04244267492e-09,4.14334491531e-07
-41.6015625,9.99941487293e-05,9.99432434679e-05,-5.8512707213e-09,-5.67565320675e-08
-41.50390625,9.9994353953e-05,9.95536156349e-05,-5.64604697236e-09,-4.46384365113e-07
-41.40625,9.99945724439e-05,9.9287933691e-05,-5.42755614936e-09,-7.1206630897e-07
-41.30859375,9.99948032608e-05,9.9183436403e-05,-5.19673916722e-09,-8.16563597022e-07
-41.2109375,9.99950453212e-05,9.926967457e-05,-4.95467879363e-09,-7.3032543e-07
-41.11328125,9.99952974198e-05,9.9566476013e-05,-4.70258016382e-09,-4.33523987e-07
-41.015625,9.99955582534e-05,0.000100082441591,-4.44174657437e-09,8.24415907293e-08
-40.91796875,9.99958264488e-05,0.000100814064706,-4.17355122172e-09,8.14064706182e-07
-40.8203125,9.99961005942e-05,0.000101745531788,-3.89940576553e-09,1.7455317878e-06
-40.72265625,9.99963792732e-05,0.000102849222779,-3.62072678129e-09,2.84922277885e-06
-40.625,9.99966610987e-05,0.000104086890915,-3.33890130202e-09,4.0868909149e-06
-40.52734375,9.99969447473e-05,0.000105411462268,-3.05525272901e-09,5.41146226848e-06
-40.4296875,9.99972289916e-05,0.0001067693599,-2.77100841144e-09,6.76935990034e-06
-40.33203125,9.99975127299e-05,0.00010810322702,-2.4872701461e-09,8.10322701976e-06
-40.234375,9.99977950113e-05,0.000109354900074,-2.20498874267e-09,9.35490007373e-06
-40.13671875,9.99980750564e-05,0.000110468467524,-1.92494362733e-09,1.04684675236e-05
-40.0390625,9.99983522718e-05,0.000111393244128,-1.64772824137e-09,1.13932441281e-05
-39.94140625,9.99986262583e-05,0.000112086494214,-1.37374172785e-09,1.20864942138e-05
-39.84375,9.99988968129e-05,0.000112515750515,-1.10318711811e-09,1.25157505145e-05
-39.74609375,9.99991639241e-05,0.000112660597007,-8.36075926712e-10,1.2660597007e-05
-39.6484375,9.99994277612e-05,0.000112513813552,-5.72238775882e-10,1.25138135523e-05
-39.55078125,9.99996886586e-05,0.000112081815458,-3.11341397284e-10,1.20818154576e-05
-39.453125,9.99999470949e-05,0.000111384360312,-5.29051233161e-11,1.1384360312e-05
-39.35546875,0.000100000203669,0.000110453535427,2.03669203315e-10,1.04535354267e-05
-39.2578125,0.000100000459075,0.000109332079616,4.59075100471e-10,9.33207961573e-06
-39.16015625,0.000100000714073,0.000108071130582,7.14073355933e-10,8.07113058227e-06
-39.0625,0.000100000969465,0.000106727521711,9.69465222605e-10,6.72752171137e-06
-38.96484375,0.000100001226067,0.00010536077773,1.22606706562e-09,5.3607777298e-06
-38.8671875,0.000100001484687,0.00010402997601,1.48468748824e-09,4.02997600953e-06
-38.76953125,0.000100001746108,0.00010279064824,1.7461077623e-09,2.79064824048e-06
-38.671875,0.000100002011066,0.000101691895296,2.01106615027e-09,1.69189529625e-06
-38.57421875,0.000100002280246,0.000100773876429,2.28024643681e-09,7.73876429254e-07
-38.4765625,0.000100002554271,0.000100065813085,2.55427071123e-09,6.58130847853e-08
-38.37890625,0.000100002833696,9.95846187607e-05,2.83369616513e-09,-4.15381239251e-07
-38.28125,0.000100003119015,9.93342310682e-05,3.11901542187e-09,-6.65768931781e-07
-38.18359375,0.00010000341066,9.93056824429e-05,3.41065970487e-09,-6.94317557133e-07
-38.0859375,0.000100003709004,9.94779040556e-05,3.70900398807e-09,-5.22095944364e-07
-37.98828125,0.000100004014373,9.98192157439e-05,4.01437317663e-09,-1.80784256124e-07
-37.890625,0.000100004327048,0.000100289415603,4.32704833437e-09,2.89415603352e-07
-37.79296875,0.000100004647272,0.000100842348485,4.64727201293e-09,8.42348485213e-07
-37.6953125,0.000100004975252,0.000101428805007,4.97525184008e-09,1.42880500659e-06
-37.59765625,0.000100005311162,0.000101999583411,5.31116168966e-09,1.9995834106e-06
