detuning_hz,detuning_ghz,dimensionless_detuning,frame_index,accepted_frame,total_atom_number,condensate_atom_number,condensate_depletion_fraction,temperature_k,peak_phase_rad,peak_faraday_rotation_rad,kappa_f,mode,noise_model,calibration_status,signal_l2_e,effective_noise_e,per_frame_snr,accumulated_snr,n_frames_full,nmax_clean_continuous
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,PCI,shot_noise_only,canonical notebook-aligned Version 1,2525.3282292528706,35.78788410449939,70.56377577056523,70.56377577056523,2,11.507447639343274
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,PCI,shot_plus_read_noise,canonical notebook-aligned Version 1,2525.3282292528706,35.91506810193837,70.31389226619834,70.31389226619834,2,11.507447639343274
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,DGI,shot_noise_only,canonical notebook-aligned Version 1,219.375019207395,5.616659620066483,39.057915922773745,39.057915922773745,2,11.507447639343274
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,DGI,shot_plus_read_noise,canonical notebook-aligned Version 1,219.375019207395,6.678030992994708,32.85025472890447,32.85025472890447,2,11.507447639343274
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,Faraday dark-field,shot_noise_only,Version 1 uncalibrated; kappa_F=1 placeholder,217.80307968063534,5.564267366049199,39.14317291968704,39.14317291968704,2,11.507447639343274
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,Faraday dark-field,shot_plus_read_noise,Version 1 uncalibrated; kappa_F=1 placeholder,217.80307968063534,6.6420885779232615,32.7913542744012,32.7913542744012,2,11.507447639343274
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,Faraday dual-port,shot_noise_only,Version 1 uncalibrated; kappa_F=1 placeholder,2374.6854756893536,31.9033245268111,74.43379368484628,74.43379368484628,2,11.507447639343274
750000000.0,0.75,50.84745762711864,0,True,116166.77870472142,24999.999999999978,8.881784197001252e-16,2e-07,0.4057656112979033,0.4057656112979033,1.0,Faraday dual-port,shot_plus_read_noise,Version 1 uncalibrated; kappa_F=1 placeholder,2374.6854756893536,32.18420311871185,73.7841936595508,73.7841936595508,2,11.507447639343274
750000000.0,0.75,50.84745762711864,1,True,116166.77870472142,21964.15210297734,0.12143391588090646,2.0219579982353292e-07,0.37543944401489737,0.37543944401489737,1.0,PCI,shot_noise_only,canonical notebook-aligned Version 1,2241.535413614183,35.301665989820755,63.49659005499996,94.92662113238482,2,11.507447639343274
750000000.0,0.75,50.84745762711864,1,True,116166.77870472142,21964.15210297734,0.12143391588090646,2.0219579982353292e-07,0.37543944401489737,0.37543944401489737,1.0,PCI,shot_plus_read_noise,canonical notebook-aligned Version 1,2241.535413614183,35.430327461211775,63.26600893170291,94.58663400168578,2,11.507447639343274
