detuning_hz,detuning_ghz,dimensionless_detuning,mode,noise_model,observable,kappa_f,calibration_status,nmax_clean_continuous,nstop_heating_continuous,n_frames_full,accepted_frame_first,accepted_frame_last,threshold_crossing_state_included,post_sequence_depletion_fraction,next_pulse_depletion_fraction,initial_per_frame_snr,final_per_frame_snr,snr_total_full,snr_identical_frame_approx,identical_approx_overestimate_fraction,snr_total_clean_matched_roi,legacy_peak_pixel_clean_total,full_relative_to_clean_matched_roi,full_relative_to_legacy_peak_pixel,legacy_observable_directly_comparable,qualitative_trend_comparable
750000000.0,0.75,50.84745762711864,PCI,shot_noise_only,fixed-ROI diagonal-covariance matched-filter SNR,,canonical notebook-aligned Version 1,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,70.56377577056523,63.49659005499996,94.92662113238482,99.79224870698735,0.051256723525605265,239.370879219366,88.53640374644915,-0.6034328760375589,0.07217615710071068,False,True
750000000.0,0.75,50.84745762711864,PCI,shot_plus_read_noise,fixed-ROI diagonal-covariance matched-filter SNR,,canonical notebook-aligned Version 1,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,70.31389226619834,63.26600893170291,94.58663400168578,99.43886006609837,0.05129927833488727,238.52320867609455,88.1126570932129,-0.6034489284012156,0.07347385860381173,False,True
750000000.0,0.75,50.84745762711864,DGI,shot_noise_only,fixed-ROI diagonal-covariance matched-filter SNR,,canonical notebook-aligned Version 1,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,39.057915922773745,34.86573758288323,52.35590180131499,55.236234416014696,0.055014478131429304,132.4947194621405,43.96513584140824,-0.6048453703373791,0.1908504500059789,False,True
750000000.0,0.75,50.84745762711864,DGI,shot_plus_read_noise,fixed-ROI diagonal-covariance matched-filter SNR,,canonical notebook-aligned Version 1,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,32.85025472890447,28.61223784824095,43.56373939916341,46.4572757650276,0.0664207528043325,111.43670064659595,42.832617049382,-0.6090718843398013,0.01706928971765831,False,True
750000000.0,0.75,50.84745762711864,Faraday dark-field,shot_noise_only,fixed-ROI diagonal-covariance matched-filter SNR: crossed-analyser electron-count template,1.0,Version 1 uncalibrated; kappa_F=1 placeholder,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,39.14317291968704,35.03442101306215,52.53188214733041,55.35680601733667,0.05377541703309834,132.78393361044647,,-0.6043807355380412,,False,True
750000000.0,0.75,50.84745762711864,Faraday dark-field,shot_plus_read_noise,fixed-ROI diagonal-covariance matched-filter SNR: crossed-analyser electron-count template,1.0,Version 1 uncalibrated; kappa_F=1 placeholder,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,32.7913542744012,28.623441534706426,43.52670812776963,46.373977943439144,0.06541431544309646,111.23689481949977,,-0.6087025963966461,,False,True
750000000.0,0.75,50.84745762711864,Faraday dual-port,shot_noise_only,fixed-ROI diagonal-covariance matched-filter SNR: dual-port electron-count difference N_V-N_U,1.0,Version 1 uncalibrated; kappa_F=1 placeholder,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,74.43379368484628,66.80992829901423,100.01977885217346,105.26528052799046,0.052444643809597964,252.498997444618,,-0.6038804911527962,,False,True
750000000.0,0.75,50.84745762711864,Faraday dual-port,shot_plus_read_noise,fixed-ROI diagonal-covariance matched-filter SNR: dual-port electron-count difference N_V-N_U,1.0,Version 1 uncalibrated; kappa_F=1 placeholder,11.507447639343274,2.490034872087701,2,0,1,False,0.24157688053302695,0.3604947308288923,73.7841936595508,66.22806602590981,99.14768763578081,104.34660736209968,0.052436116769733476,250.2953833735472,,-0.603877281716338,,False,True
889139705.0189999,0.889139705019,60.28065796738982,PCI,shot_noise_only,fixed-ROI diagonal-covariance matched-filter SNR,,canonical notebook-aligned Version 1,16.171402569023485,3.5885791323189666,3,0,2,False,0.25132957311470294,0.33390240116702485,60.32678822517526,51.82151685182591,97.32557637082913,104.48906226345143,0.07360332360455846,242.5962305450335,88.54130455893642,-0.5988166174215868,0.09921100502924673,False,True
889139705.0189999,0.889139705019,60.28065796738982,PCI,shot_plus_read_noise,fixed-ROI diagonal-covariance matched-filter SNR,,canonical notebook-aligned Version 1,16.171402569023485,3.5885791323189666,3,0,2,False,0.25132957311470294,0.33390240116702485,60.10415667963683,51.6242478366611,96.9613576454896,104.1034531152113,0.07365919416923437,241.70094711727268,88.1175344497792,-0.5988374940109598,0.10036394289664052,False,True
